SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2022,3,MF,Fall,4,NORTH,20.35449134,29.07784477
2022,3,MF,Fall,4,SOUTH,20.66666667,29.52380952
2022,3,MF,Fall,6,NORTH,38.55481602,55.0783086
2022,3,MF,Fall,6,SOUTH,21.47533985,30.67905693
2022,3,MF,Fall,9,NORTH,30.50162608,43.57375154
2022,3,MF,Fall,9,SOUTH,28.60457055,40.86367221
2022,3,MF,Fall,15,NORTH,29.80212606,42.5744658
2022,3,MF,Fall,15,SOUTH,45.58804411,65.1257773
2022,3,MF,Fall,18,NORTH,24.66380141,35.23400202
2022,3,MF,Fall,18,SOUTH,30.76851422,43.95502032
2022,3,MF,Fall,21,NORTH,17.71749894,25.31071277
2022,3,MF,Fall,21,SOUTH,23.93999771,34.19999673
2022,3,MF,Fall,24,NORTH,7.942276057,11.34610865
2022,3,MF,Fall,24,SOUTH,12.61185505,18.01693579
2022,3,MF,Summer,4,NORTH,16.74895833,23.92708333
2022,3,MF,Summer,4,SOUTH,NULL,NULL
2022,3,MF,Summer,6,NORTH,32.92736772,47.03909675
2022,3,MF,Summer,6,SOUTH,21.09767896,30.13954137
2022,3,MF,Summer,9,NORTH,31.38831837,44.84045481
2022,3,MF,Summer,9,SOUTH,30.59867229,43.71238899
2022,3,MF,Summer,15,NORTH,28.95682773,41.36689676
2022,3,MF,Summer,15,SOUTH,46.1228538,65.88979114
2022,3,MF,Summer,18,NORTH,23.74517496,33.92167852
2022,3,MF,Summer,18,SOUTH,29.40829597,42.01185139
2022,3,MF,Summer,21,NORTH,18.42079726,26.31542465
2022,3,MF,Summer,21,SOUTH,25.90015407,37.0002201
2022,3,MF,Summer,24,NORTH,7.515833333,10.73690476
2022,3,MF,Summer,24,SOUTH,11.96896259,17.09851798
2022,3,Sat,Fall,4,NORTH,NULL,NULL
2022,3,Sat,Fall,4,SOUTH,NULL,NULL
2022,3,Sat,Fall,6,NORTH,21.96253307,31.37504724
2022,3,Sat,Fall,6,SOUTH,14.51161616,20.73088023
2022,3,Sat,Fall,9,NORTH,38.53703165,55.05290235
2022,3,Sat,Fall,9,SOUTH,32.43466117,46.33523025
2022,3,Sat,Fall,15,NORTH,34.35595238,49.07993197
