Year,line_no,Annual_Boardings,Avg Daily Brdgs MF,Avg Daily Brdgs Sat,Avg Daily Brdgs SunHol,Annual_Service_Cost,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Perc_Trips_w_Overcrowding,Average_Passenger_Load_Bi_Directional,Average_Peak_Load_Factor,Total_Capacity_Utilization,Percentage_of_Revenue_Hours_with_Overcrowding,Annual_Revenue_Hours_with_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2019,211,816003.2438,2535.669767,1798.771795,1469.644893,2682300.6,21636.21667,24836.11667,37.71469182,1.868460389,20.12519673,40.25039345,31.04582366,1.878808,406.5012387,83.90578301,0.78241511,25.93940448
2019,212,349347.4989,1050.312932,772.0448718,763.3340785,1149141.6,10026.65,10640.2,34.84189624,1.170160897,15.00180573,30.00361146,17.71555241,1.390376,139.400515,89.95792161,0.058641558,31.12414759
2019,214,193783.9928,640.0961949,339.6023859,267.1210306,844076.25,8197.333333,9602.966667,23.63988201,0.066295412,6.709940941,19.83358767,16.65121638,0.108998,8.926896,89.56966825,0.36014966,27.61135869
2019,215,270328.4744,884.7045332,513.1699437,369.6591564,748257.85,9943.316667,10844.31667,27.18695215,0.80020005,8.884472862,37.01863693,21.28471521,0.885658,88.0580124,87.64834658,0.114339802,29.27935937
2019,222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,227,157486.1832,409.6408909,508.7575274,468.1591786,601132.6,8457.433333,8712.066667,18.62103749,0.307859471,5.896777496,24.56990623,16.22545062,0.27026,22.85198487,89.03610467,0.071097566,24.19749884
2019,228,770598.5898,2388.684901,1757.460996,1345.900182,2150330.4,18760.08333,19910.46667,41.07650143,0.116245278,12.97976946,25.95953892,15.90065546,0.144999,27.18336075,86.56253333,0.297863549,20.03475869
2019,229,1213781.423,3692.679201,3009.554716,2215.655024,2277138.6,19327.35,21084.61667,62.80123362,2.384560978,24.05127038,48.10254076,27.66186335,2.739467,529.4534259,84.47514911,0.209185702,15.86678692
2019,230,956369.8419,3057.461413,2012.628846,1443.610656,1811028.6,15273.21667,16768.78333,62.61744744,3.583247746,23.42771603,46.85543207,23.58188835,4.417524,674.6943463,86.06853931,0.261853433,15.76531469
2019,231,28910.48034,115.9617684,NULL,NULL,107611.2,657.2333333,996.4,43.98815288,0,11.64344395,23.2868879,21.17618211,0,0,89.7107438,0.111696186,17.49687461
2019,232,902048.6515,2800.248223,1915.748443,1666.785656,2207795.4,19198.93333,20442.55,46.98431084,1.289057027,21.1477921,42.2955842,24.88503107,1.528045,293.3597013,78.95966908,0.440167064,20.86928599
2019,236,652854.987,1670.796513,2148.445944,1963.439334,2251503,19481.38333,20847.25,33.5117366,0.640130354,13.82316782,27.64633564,20.54793552,0.705944,137.519085,83.71574401,0.384717566,21.97674204
2019,240,3477498.938,10498.06198,8852.838345,6346.042247,6048462.6,51783.85,56004.28333,67.15412117,22.49578415,39.49877026,77.68934393,55.53014145,23.836191,12343.25027,77.8424274,2.456135385,18.55852434
2019,241,363850.5299,1458.060361,NULL,NULL,944596.44,5584.313333,8746.263333,65.15582279,25.32407407,36.8593147,73.7186294,58.1320144,33.740813,1884.191993,77.28863159,1.813581121,18.59546389
2019,245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019,247,88398.12663,355.0125568,NULL,NULL,306102.6,1801.566667,2834.283333,49.06736357,11.38888889,31.63486833,63.26973665,40.8009171,14.365696,258.8058611,84.01937046,1.02627672,24.67718206
2019,250,3797289.448,11177.45434,10090.80144,7900.186498,7571025,64939.13333,70102.08333,58.47459387,13.0463825,33.28620371,66.57240742,40.01332578,17.33682,11258.36767,66.75831908,4.273649928,23.98233779
2019,251,128046.1221,412.4268613,244.3063763,201.5858262,599281.1,8375.5,8685.233333,15.28817648,0.347901718,6.578619956,27.41091648,13.07619962,0.399208,33.434996,71.66767153,0.046301317,25.98812227
2019,252,86289.2137,271.6846073,184.2164774,144.0817977,513806.2,7077.4,7446.466667,12.19221942,0.317258883,5.044984744,21.02076977,10.52603111,0.326692,23.1147884,69.67909445,0.014455664,22.15319245
2019,253,469542.657,1734.484671,377.7083333,283.8192428,1220292,10487.83333,11299,44.7702249,12.78096078,23.01611135,46.03222269,30.29440942,18.576272,1948.240896,68.90252309,1.570670967,27.05639621
2019,254,275580.7375,969.1532098,352.0882354,256.4754098,817876.8,7045.533333,7572.933333,39.11424791,5.643173977,18.38322279,36.76644557,24.28661607,10.867173,765.6451529,63.17422329,0.265704743,29.73536206
2019,255,1456768.845,4762.166837,2802.010943,1963.85082,3079004.4,27319.3,28509.3,53.32379837,6.855964082,28.85337509,57.70675019,29.9647363,7.820326,2136.451218,54.36694734,2.914152275,21.55538428
2019,256,107208.4093,307.7626901,302.7524448,239.1864319,365935.75,5066.083333,5303.416667,21.16199088,0.033806626,6.451241113,26.8801713,14.81835054,0.030203,1.529957167,65.04006612,0.033286124,21.31506559
2019,257,1753440.346,4839.923461,4660.071815,4820.562888,3138577.2,27775.65,29060.9,63.12868811,10.30728531,44.25219727,59.00292969,46.16043586,10.850499,3013.769128,79.37611703,0.857919211,36.41820415
2019,262,41234.61716,126.4299006,99.34256769,72.38948192,371220,5126.666667,5380,8.043163295,0.03511236,3.094232357,12.89263482,7.25207588,0.044698,2.286493333,77.78379659,0.000782724,48.06854402
2019,280,26063.10445,80.04440798,55.36414211,53.2313356,296657.45,4280.333333,4299.383333,6.089036161,0,2.713576523,11.30656884,NULL,NULL,NULL,NULL,NULL,29.2001085
2019,301,1386413.432,4557.132849,2413.269009,2023.714713,3351913.2,28922.86667,31036.23333,47.93485542,18.92989786,35.05180504,70.10361007,55.76965109,20.638262,5969.159068,71.17987776,1.479492757,36.92708048
2019,310,270514.1407,872.1264286,485.9342526,438.4466482,828403.65,11273.38333,12005.85,23.99582563,4.792468977,13.86871352,57.78630631,42.48999663,5.074242,572.0340171,88.47495779,0.0659805,38.09632537
2019,311,262731.3585,1053.722323,NULL,NULL,888456.6,4620.85,8226.45,56.85779857,21.22222222,41.14965087,82.29930174,76.12133821,23.152466,1069.837675,91.95102041,0.762666144,45.60192851
2019,312,1090613.32,3390.730536,2307.6141,1988.970772,1952681.4,17207.81667,18080.38333,63.37894816,15.87424301,30.20736102,60.41472205,38.24727882,18.019697,3100.779732,86.50469737,0.382274963,25.83041159
2019,314,621969.5778,2007.778484,1206.837202,925.6467343,1024466.4,9103.816667,9485.8,68.31965104,11.83456183,29.50688108,59.01376217,30.75441449,15.801474,1438.530487,85.94970471,0.17493114,21.86897154
2019,316,954075.6485,2998.139915,2307.657053,1370.66628,1549425.6,13949.05,14346.53333,68.39717748,13.94523327,32.21438439,64.42876877,38.34442474,14.495592,2021.984543,78.5384229,0.206037161,22.22912739
2019,319,7471296.363,22998.64811,16979.0384,13436.57162,7533667.8,67682.81667,69756.18333,110.3869007,33.07413167,41.2325759,82.46515181,59.20162547,35.118767,23769.32534,76.85851415,5.886142184,22.46075012
2019,320,2677381.984,8049.403089,6394.404412,5348.630642,5175860.4,44403.96667,47924.63333,60.29600924,8.595347648,28.75784569,57.51569139,34.32058394,13.107862,5820.383143,78.25706022,1.536744705,23.14188618
2019,321,3429712.906,10256.50719,8155.454629,7062.936219,6066435.6,53907.38333,56170.7,63.6223221,17.35875173,37.1588429,74.3176858,41.78123977,19.271046,10388.49184,74.81049254,3.100237845,26.47222596
2019,322,564075.8573,1693.182725,1275.619747,1196.157629,1179230.7,16569.58333,17090.3,34.04285104,7.176360225,16.54187518,68.92447994,27.77683371,7.763341,1286.346463,89.52860578,0.047063904,24.63613258
2019,323,3008813.59,9201.074246,6660.427287,5791.48717,3106135.8,27419.78333,28760.51667,109.7314867,40.00308071,44.27456753,88.54913505,53.1145118,42.489711,11650.58368,78.17254076,2.013920185,20.52504322
2019,324,1376865.601,4290.057676,2869.481387,2488.732905,2000912.4,17946.75,18526.96667,76.71949521,15.58489182,34.45906725,68.9181345,40.83445597,16.416446,2946.210267,81.94719948,0.716130672,21.40963624
2019,325,1290351.112,3981.229137,2696.054805,2488.715147,1677412.8,15050.2,15531.6,85.73647607,9.773186082,30.92118918,61.84237836,43.27297856,11.217971,1688.316386,85.56524175,0.93895434,20.78051575
2019,326,495280.5272,1670.166942,828.0471327,559.5383785,1140870.6,9755.6,10563.61667,50.76884325,7.148067104,25.46373932,50.92747864,25.49306203,7.415779,723.4460292,78.97751837,0.072441794,21.6717568
2019,329,201236.075,692.1439649,550.9082265,NULL,369579.6,3270.066667,3422.033333,61.53882949,3.19284802,24.7823358,49.56467159,29.21686838,3.897029,127.434498,84.66127535,0.003839125,21.71782668
2019,335,3399333.096,10762.64846,6956.330535,5577.712169,4438787.4,39488.36667,41099.88333,86.08441885,21.9489056,37.14756398,74.29512796,40.17595023,27.379033,10811.51991,78.56071781,2.735118872,21.88036517
