Calendar_Year,Station_Name,Day_Type,Average_Daily_Station_Boardings
2019,Inlet Centre Station,Sat,1530
2019,Inlet Centre Station,Sun/Hol,1014
2019,Joyce-Collingwood Station,MF,15325
2019,Joyce-Collingwood Station,Sat,12409
2019,Joyce-Collingwood Station,Sun/Hol,10489
2019,King Edward Station,MF,7206
2019,King Edward Station,Sat,5613
2019,King Edward Station,Sun/Hol,4434
2019,King George Station,MF,15208
2019,King George Station,Sat,9404
2019,King George Station,Sun/Hol,6975
2019,Lafarge Lake-Douglas Station,MF,3063
2019,Lafarge Lake-Douglas Station,Sat,1685
2019,Lafarge Lake-Douglas Station,Sun/Hol,1326
2019,Lake City Way Station,MF,1280
2019,Lake City Way Station,Sat,671
2019,Lake City Way Station,Sun/Hol,476
2019,Langara-49th Avenue Station,MF,8472
2019,Langara-49th Avenue Station,Sat,5590
2019,Langara-49th Avenue Station,Sun/Hol,4478
2019,Lansdowne Station,MF,4938
2019,Lansdowne Station,Sat,4254
2019,Lansdowne Station,Sun/Hol,3323
2019,Lincoln Station,MF,4200
2019,Lincoln Station,Sat,3465
2019,Lincoln Station,Sun/Hol,2637
2019,Lougheed Town Centre Station,MF,13132
2019,Lougheed Town Centre Station,Sat,8721
2019,Lougheed Town Centre Station,Sun/Hol,6566
2019,Main Street-Science World Station,MF,15174
2019,Main Street-Science World Station,Sat,11816
2019,Main Street-Science World Station,Sun/Hol,8795
2019,Marine Drive Station,MF,11169
2019,Marine Drive Station,Sat,9279
2019,Marine Drive Station,Sun/Hol,7659
2019,Metrotown Station,MF,26082
2019,Metrotown Station,Sat,23369
2019,Metrotown Station,Sun/Hol,18673
2019,Moody Centre Station,MF,2540
2019,Moody Centre Station,Sat,1780
2019,Moody Centre Station,Sun/Hol,1247
2019,Nanaimo Station,MF,6930
2019,Nanaimo Station,Sat,5400
2019,Nanaimo Station,Sun/Hol,4258
2019,New Westminster Station,MF,16388
2019,New Westminster Station,Sat,11625
2019,New Westminster Station,Sun/Hol,8470
2019,Oakridge-41st Avenue Station,MF,8460
2019,Oakridge-41st Avenue Station,Sat,7059
2019,Oakridge-41st Avenue Station,Sun/Hol,5654
2019,Olympic Village Station,MF,5562
2019,Olympic Village Station,Sat,3283
2019,Olympic Village Station,Sun/Hol,2417
