SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2023,7,Sat,Fall,15,474.9333333,559.4333333,4.666666667,55.28513663,72.13394017
2023,7,Sat,Fall,18,282.3166667,368.9833333,3.153846154,57.1344,65.30361684
2023,7,Sat,Fall,21,224.9,292.0666667,2.820512821,53.72837126,54.67651899
2023,7,Sat,Fall,24,55.25,94.03333333,1.5,33.25768873,28.26903542
2023,7,Sat,Summer,4,12.9,39.6,1.444444444,22.9581561,10.9688968
2023,7,Sat,Summer,6,179.25,241.2,3.62962963,46.10815523,41.74185265
2023,7,Sat,Summer,9,560.85,669.75,4.222222222,60.82675297,74.32393117
2023,7,Sat,Summer,15,328.8,387.3,4.666666667,58.55717278,76.4031683
2023,7,Sat,Summer,18,195.45,255.45,3.148148148,66.19953118,75.66490275
2023,7,Sat,Summer,21,155.7,202.2,2.814814815,58.16808225,59.19457782
2023,7,Sat,Summer,24,38.25,65.1,1.5,27.89055355,23.70697051
2023,7,Sun/Hol,Fall,4,23.4,55.13333333,0.761904762,18.45158581,13.08385175
2023,7,Sun/Hol,Fall,6,298.25,387.6666667,2.46031746,42.08503075,40.23032186
2023,7,Sun/Hol,Fall,9,1120.116667,1351.483333,3.801587302,62.92052326,73.33852943
2023,7,Sun/Hol,Fall,15,629.2666667,714.5,4.079365079,62.65377472,76.70414781
2023,7,Sun/Hol,Fall,18,402.4833333,506.6833333,3,53.25756907,56.55747737
2023,7,Sun/Hol,Fall,21,333.8,423.1666667,2.825396825,36.42013661,34.05333781
2023,7,Sun/Hol,Fall,24,82.68333333,150.4,1.5,16.20204716,12.7584692
2023,7,Sun/Hol,Summer,4,13.43333333,31.56666667,0.692307692,20.1845919,15.06368618
2023,7,Sun/Hol,Summer,6,171.15,224.3833333,2.333333333,47.45950351,44.38630616
2023,7,Sun/Hol,Summer,9,674.55,820.9,3.769230769,63.49963717,72.59945806
2023,7,Sun/Hol,Summer,15,371.3,433.25,4,61.07282928,71.98838575
2023,7,Sun/Hol,Summer,18,243.75,309.8,3,61.97132332,64.55346179
2023,7,Sun/Hol,Summer,21,205.4666667,260.2,2.820512821,42.57071201,39.57856241
2023,7,Sun/Hol,Summer,24,50.96666667,93.08333333,1.5,20.29972683,15.91706786
2023,8,MF,Fall,4,257.4736111,379.3569444,2.246478873,42.6320335,17.17781473
2023,8,MF,Fall,6,1232.323333,1519.873333,4.492957746,91.93336327,59.09839785
2023,8,MF,Fall,9,2820.159444,3239.059444,4.164319249,85.53434917,67.94943737
2023,8,MF,Fall,15,1415.246944,1653.096944,3.830985915,103.0735426,89.32915872
2023,8,MF,Fall,18,1304.644722,1533.028056,4.164319249,65.85121705,48.40137621
2023,8,MF,Fall,21,1055.580278,1236.630278,4.328638498,43.08428966,24.63647153
2023,8,MF,Fall,24,302.8844444,435.4177778,2.164319249,21.07066718,8.17154587
2023,8,MF,Summer,4,174.0666667,256.4666667,2.25,42.32191705,17.05285886
2023,8,MF,Summer,6,833.12,1027.52,4.5,81.5045216,52.39432641
2023,8,MF,Summer,9,1861.866667,2153.066667,4.083333333,82.84560115,65.58140445
2023,8,MF,Summer,15,991.88,1152.68,4,99.67145595,85.81781574
2023,8,MF,Summer,18,861.1866667,1033.186667,4.166666667,71.2378873,51.12426559
2023,8,MF,Summer,21,695.2266667,842.4266667,4.333333333,48.47605341,27.00468352
2023,8,MF,Summer,24,201.5466667,286.3466667,2.166666667,23.63957656,9.023632304
2023,8,Sat,Fall,4,39.10833333,52.975,2.5,22.47888004,7.513773791
2023,8,Sat,Fall,6,175.4747222,219.6747222,4,53.12422939,29.87807498
2023,8,Sat,Fall,9,502.5077778,603.6911111,4.153846154,81.06268603,62.66866188
2023,8,Sat,Fall,15,259.5305556,311.5305556,4.153846154,89.72926161,71.65380035
2023,8,Sat,Fall,18,214.0341667,261.0508333,4,68.05959467,46.68935458
2023,8,Sat,Fall,21,191.3744444,230.3744444,4,45.46246886,27.88575231
2023,8,Sat,Fall,24,63.90222222,94.45222222,2.153846154,28.37305989,11.62244601
2023,8,Sat,Summer,4,27.075,36.675,2.5,22.62128049,7.561372462
2023,8,Sat,Summer,6,121.4825,152.0825,4,55.29203659,31.0972909
2023,8,Sat,Summer,9,346.075,408.625,4.12962963,81.19752079,62.44540446
2023,8,Sat,Summer,15,179.675,215.675,4.148148148,85.13069213,67.98158714
2023,8,Sat,Summer,18,148.1775,180.7275,4,69.00636231,47.33884375
2023,8,Sat,Summer,21,132.49,159.49,4,50.12944448,30.74838009
2023,8,Sat,Summer,24,44.24,65.39,2.148148148,32.1513725,13.17015481
2023,8,Sun/Hol,Fall,4,40.18611111,77.98611111,1.452380952,25.29528229,10.26786894
2023,8,Sun/Hol,Fall,6,236.6913889,287.7913889,3.333333333,45.40432289,25.5876482
2023,8,Sun/Hol,Fall,9,744.3105556,880.2938889,4.087301587,79.69672035,57.47975795
2023,8,Sun/Hol,Fall,15,382.865,440.065,3.984126984,82.52932854,62.8182731
2023,8,Sun/Hol,Fall,18,356.9747222,432.7247222,4.301587302,56.75080087,37.37749331
2023,8,Sun/Hol,Fall,21,274.6469444,338.5469444,4.031746032,40.09424416,21.67669616
2023,8,Sun/Hol,Fall,24,86.33833333,123.9216667,2.015873016,18.27791932,7.374229395
2023,8,Sun/Hol,Summer,4,23.57638889,47.49305556,1.538461538,31.25060467,12.92590191
2023,8,Sun/Hol,Summer,6,143.01,173.46,3.230769231,49.76474445,27.90923962
2023,8,Sun/Hol,Summer,9,456.2655556,539.9322222,4.076923077,78.49592819,56.2244714
2023,8,Sun/Hol,Summer,15,233.1941667,269.9441667,4,79.00567651,59.05020159
2023,8,Sun/Hol,Summer,18,218.4480556,268.2313889,4.307692308,65.2605432,42.30278566
2023,8,Sun/Hol,Summer,21,167.9538889,208.2205556,4,48.59005367,25.99009069
2023,8,Sun/Hol,Summer,24,52.78888889,75.55555556,2,23.72494675,9.560408992
2023,9,MF,Fall,4,327.665,577.3483333,2.5,55.90049857,28.66453343
2023,9,MF,Fall,6,2209.677778,2939.794444,7.328638498,84.74392425,59.94134642
2023,9,MF,Fall,9,3530.790556,4867.957222,5.830985915,78.50559385,55.77199383
2023,9,MF,Fall,15,2907.489444,3710.972778,8.333333333,88.80416598,72.73159865
2023,9,MF,Fall,18,1273.878056,1898.678056,4.333333333,66.06045132,45.58665183
2023,9,MF,Fall,21,1041.944722,1476.228056,4.164319249,49.55459176,29.08909597
2023,9,MF,Fall,24,445.4855556,679.7855556,2.661971831,13.67399784,5.719782651
2023,9,MF,Summer,4,221.52,390.32,2.5,59.50119697,30.51089156
2023,9,MF,Summer,6,1306.666667,1717.066667,7.166666667,73.26988882,46.38533013
2023,9,MF,Summer,9,2308.613333,3061.413333,5.916666667,72.2982894,48.97558535
2023,9,MF,Summer,15,1679.253333,2196.053333,8,81.95049448,59.72901086
2023,9,MF,Summer,18,889.2133333,1270.813333,4.5,67.83739574,46.54468888
2023,9,MF,Summer,21,693.2133333,1000.413333,4.166666667,53.05470934,30.64852659
2023,9,MF,Summer,24,299.5733333,458.7733333,2.666666667,15.64343391,6.508827279
2023,9,Sat,Fall,4,52.83416667,77.53416667,2.230769231,22.07156334,11.212814
2023,9,Sat,Fall,6,172.7627778,259.4294444,3.820512821,61.2195171,35.37275528
2023,9,Sat,Fall,9,627.5966667,831.48,5.384615385,77.40762888,57.49203534
2023,9,Sat,Fall,15,339.5058333,452.3891667,5.820512821,86.57546349,64.59972501
2023,9,Sat,Fall,18,214.1172222,289.3005556,4.153846154,72.6098917,47.83701021
2023,9,Sat,Fall,21,182.0902778,257.9236111,4.153846154,52.18364455,29.2373364
2023,9,Sat,Fall,24,81.14888889,129.2488889,2.641025641,24.18889592,10.06616424
2023,9,Sat,Summer,4,36.5775,53.6775,2.222222222,23.79639639,12.08906512
2023,9,Sat,Summer,6,119.605,179.605,3.814814815,63.36657553,36.61332979
2023,9,Sat,Summer,9,434.49,575.64,5.37037037,72.14802308,53.5856317
2023,9,Sat,Summer,15,235.0425,313.1925,5.814814815,77.51007656,57.83543546
2023,9,Sat,Summer,18,148.235,200.285,4.148148148,74.88032341,49.33282107
2023,9,Sat,Summer,21,126.0625,178.5625,4.148148148,62.89933406,35.24109911
2023,9,Sat,Summer,24,56.18,87.68,2.62962963,28.36026722,11.80207268
2023,9,Sun/Hol,Fall,4,69.98416667,116.7175,2.261904762,16.3038848,6.711845832
2023,9,Sun/Hol,Fall,6,298.2938889,399.9272222,4.015873016,54.51079882,32.07147567
2023,9,Sun/Hol,Fall,9,965.2005556,1316.883889,5.579365079,77.88096279,53.27480407
2023,9,Sun/Hol,Fall,15,551.4313889,715.9813889,6.047619048,77.79830926,56.22598916
2023,9,Sun/Hol,Fall,18,351.2694444,503.0527778,4.46031746,65.70736189,40.99642719
2023,9,Sun/Hol,Fall,21,269.6975,389.4641667,3.873015873,48.72564879,26.87359032
2023,9,Sun/Hol,Fall,24,117.6561111,182.2561111,2.507936508,14.16553039,5.611653933
2023,9,Sun/Hol,Summer,4,42.40833333,71.125,2.269230769,17.94994072,7.249781614
2023,9,Sun/Hol,Summer,6,175.7288889,233.8788889,3.923076923,56.41054596,32.28978034
2023,9,Sun/Hol,Summer,9,593.0727778,808.3561111,5.58974359,75.61895544,51.25433595
2023,9,Sun/Hol,Summer,15,331.3711111,430.3377778,6,72.73730973,51.50222894
2023,9,Sun/Hol,Summer,18,217.8019444,311.3519444,4.487179487,70.98939136,44.05022072
2023,9,Sun/Hol,Summer,21,165.3352778,239.5352778,3.846153846,57.68038027,31.68306211
2023,9,Sun/Hol,Summer,24,72.15111111,111.6677778,2.487179487,17.25500434,6.803102377
2023,10,MF,Fall,4,708.8166667,828.3333333,4.492957746,24.85094853,13.78307238
2023,10,MF,Fall,6,1712.283333,1991.55,5.666666667,80.15189521,56.8528394
2023,10,MF,Fall,9,2875.5,3480.183333,4.082159624,76.68035371,63.3786597
2023,10,MF,Fall,15,1827.066667,2041.25,4.661971831,98.68622599,90.69734103
2023,10,MF,Fall,18,1343.083333,1547.8,3.995305164,63.50823888,50.05684106
2023,10,MF,Fall,21,901.7,1092.216667,2.995305164,39.54446469,27.90081675
2023,10,MF,Fall,24,262.7,313.5833333,2,16.37312236,10.09675879
2023,10,MF,Summer,4,479.2,560,4.5,25.44560926,14.11288884
2023,10,MF,Summer,6,1144.8,1346.4,5.666666667,78.57292935,55.11659897
2023,10,MF,Summer,9,1943.2,2352.8,4.083333333,74.86727069,61.85462603
2023,10,MF,Summer,15,1188.8,1365.6,4.666666667,100.4609949,88.86014191
2023,10,MF,Summer,18,888,1055.2,4,71.9326365,55.44807397
2023,10,MF,Summer,21,603.2,735.2,3,46.28914748,32.31668259
2023,10,MF,Summer,24,177.6,212,2,20.65068831,12.73459112
2023,10,Sat,Fall,4,59.36666667,68.9,2.5,18.95138574,10.81808269
2023,10,Sat,Fall,6,193.9166667,224.9,3.820512821,46.64360579,30.25074433
2023,10,Sat,Fall,9,549.6833333,638.3,4.076923077,68.44615108,59.06390656
2023,10,Sat,Fall,15,275.6,328.25,4,75.79819136,66.95506903
2023,10,Sat,Fall,18,232.05,271.05,3.820512821,59.31380071,46.03266708
2023,10,Sat,Fall,21,159.0333333,184.1666667,2.820512821,44.93565572,32.33605029
2023,10,Sat,Fall,24,51.13333333,60.23333333,2,26.04843774,17.07619807
2023,10,Sat,Summer,4,41.1,47.7,2.5,19.29370588,11.01349044
2023,10,Sat,Summer,6,134.25,152.55,3.814814815,47.94924487,31.09751751
2023,10,Sat,Summer,9,379.35,434.4,4.074074074,63.03207222,54.2204458
2023,10,Sat,Summer,15,188.7,226.35,4,75.28110743,65.76641191
2023,10,Sat,Summer,18,160.05,188.25,3.814814815,66.76335018,51.62064829
2023,10,Sat,Summer,21,110.1,127.5,2.814814815,56.05631982,40.3385674
2023,10,Sat,Summer,24,35.4,41.7,2,31.78626334,20.83766152
2023,10,Sun/Hol,Fall,4,54.83333333,66.13333333,2.30952381,18.71273343,10.4702199
2023,10,Sun/Hol,Fall,6,302.85,347,3.857142857,37.64190348,23.40831718
2023,10,Sun/Hol,Fall,9,814.7833333,969.1333333,4.007936508,64.16626051,51.71275927
2023,10,Sun/Hol,Fall,15,429.0666667,507.55,4.063492063,75.90812016,63.61258611
2023,10,Sun/Hol,Fall,18,357.1833333,416.65,3.841269841,53.11249117,39.1152508
2023,10,Sun/Hol,Fall,21,254.2333333,300.5333333,2.984126984,33.01866373,22.26643221
2023,10,Sun/Hol,Fall,24,74.93333333,92.96666667,2,12.29857532,7.314073363
2023,10,Sun/Hol,Summer,4,30.18333333,36.66666667,2.384615385,18.63402087,10.41549747
2023,10,Sun/Hol,Summer,6,183.65,210.45,3.820512821,39.83627582,24.55010756
2023,10,Sun/Hol,Summer,9,497.4833333,595.8166667,4,61.40523923,48.87693295
2023,10,Sun/Hol,Summer,15,257.9666667,311.25,4.025641026,71.83349273,58.64128695
2023,10,Sun/Hol,Summer,18,218.7,257.9833333,3.820512821,59.52893487,43.39659352
2023,10,Sun/Hol,Summer,21,156.9666667,185.7166667,2.974358974,40.81010583,27.37532598
2023,10,Sun/Hol,Summer,24,46.1,57.41666667,2,18.40433253,10.87743243
2023,14,MF,Fall,4,725.3833333,1117.066667,3.746478873,26.60379918,18.12014322
2023,14,MF,Fall,6,1974.983333,2397.433333,4.497652582,52.82487384,54.42266323
2023,14,MF,Fall,9,4489.566667,5398.366667,4.330985915,55.0969486,66.99930224
2023,14,MF,Fall,15,3067.2,3755.9,5.666666667,68.23511351,86.69873246
2023,14,MF,Fall,18,1467.333333,2240.05,3.995305164,65.2148828,56.15726019
2023,14,MF,Fall,21,809.4,1020.033333,2.995305164,45.20166276,28.62771975
2023,14,MF,Fall,24,584.5666667,918.2666667,2.328638498,16.81287009,9.887568837
2023,14,MF,Summer,4,428,660,3.5,24.65225888,15.70114107
2023,14,MF,Summer,6,1252,1489.6,4.666666667,43.21070601,40.2528303
2023,14,MF,Summer,9,2717.6,3237.6,4.25,46.5833817,51.71364302
2023,14,MF,Summer,15,1846.4,2263.2,5.666666667,57.57280376,65.13628974
2023,14,MF,Summer,18,912,1353.6,4.166666667,50.87511702,38.66508893
2023,14,MF,Summer,21,465.6,618.4,3,33.70872301,18.16525629
2023,14,MF,Summer,24,338.4,564.8,2.333333333,11.71807769,5.90088912
2023,14,Sat,Fall,4,99.45,136.2833333,3,14.96455022,9.539900765
2023,14,Sat,Fall,6,286.8666667,351,4.153846154,37.58807979,33.17774509
2023,14,Sat,Fall,9,1112.366667,1348.533333,5.730769231,53.53838266,66.39276729
2023,14,Sat,Fall,15,581.9666667,713.05,5.666666667,59.41849379,78.23435015
2023,14,Sat,Fall,18,274.7333333,408.85,3.820512821,63.23265724,58.10073143
2023,14,Sat,Fall,21,176.3666667,225.7666667,3.153846154,51.09026055,36.48023867
2023,14,Sat,Fall,24,79.95,134.7666667,2.153846154,46.92239337,31.28159558
2023,14,Sat,Summer,4,67.2,91.05,3,14.43707301,8.983067652
2023,14,Sat,Summer,6,175.05,220.95,4,34.27222247,27.77478029
