Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
Newton,Exchange,Surrey,Southeast,1975,301; 319; 321; 322; 323; 324; 325; 335; 341; 342; 393; R1,55411; 55456; 55538; 55578; 55645; 55688; 55944; 56019; 58506; 61703; 61704; 61705,None,16400,15500,13200,12000,11400,10700,0,0,0,0,0,0,0,0,0,0,0,0,9600,5800,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.842792,49.133023,243,7de6053d-ae00-4342-aca3-050c1cf46686,-13674797.049319,6297462.83121352
NightBus District,Exchange,Vancouver,Vancouver/UBC,2003,004; 007; 010; 014; 015/050; 016; 209; 210; 211; 214; N15; N19; N20; N22; N24; N35; N8,50526; 54828; 59831; 59832; 61917,None,2100,940,1400,780,1200,650,0,0,0,0,0,0,0,0,0,0,0,0,25300,142400,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.117092,49.284537,244,9422158e-5fd5-46ae-8310-3e86a6c90f94,-13705332.0161268,6323280.00801982
Oakridge-41st Avenue,Station,Vancouver,Vancouver/UBC,2009,015/050; 041; N15; R4,50160; 50467; 50621; 50981; 61281,Canada Line,3100,4400,2100,3500,1700,2900,7000,6740,5580,5320,4490,4510,0,0,0,0,0,0,12000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.116271,49.232943,245,da2de2c7-5a41-4e7d-a5c1-f515c55114fe,-13705230.2144541,6314580.78491508
Olympic Village,Station,Vancouver,Vancouver/UBC,2009,015/050; 084,61039; 61040; 61254,Canada Line,1900,1800,1200,1000,820,700,3760,3380,2690,2520,2100,1960,0,0,0,0,0,0,16000,33000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.114801,49.26657,246,7441fb6f-b466-4543-b035-aaa220a7dc11,-13705154.6384458,6320169.51914244
Park Royal,Exchange,West Vancouver,North Shore,1959,044; 250; 251; 252; 253; 254; 255; 256; 257; R2,54411; 54441; 54442; 54608; 61772; 61776; 61782,None,5000,5200,4000,4000,4100,4200,0,0,0,0,0,0,0,0,0,0,0,0,4600,4300,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-123.137719,49.327948,247,3e067c66-ec48-4e8c-8101-5b9fabbbe1e3,-13707628.20361,6330691.68537751
Patterson,Station,Burnaby,Burnaby/New Westminster,1985,110; 129/133,52515; 52586,Expo/Millennium Line,750,740,430,450,350,410,4000,4090,3310,3400,2640,2790,0,0,0,0,0,0,21000,13000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.01264,49.229748,248,4dff9c2c-863c-4073-97a5-e7f3f1705fd0,-13693685.1927169,6313925.47445465
Phibbs,Exchange,North Vancouver District,North Shore,1973,028; 130; 209; 210; 211; 212; 214; 215; 222; 227; 232; 245; R2,60254; 60255; 60256; 60257; 60258; 60259; 60260; 60264; 60278; 60279,None,7500,7400,3900,3900,2900,3000,0,0,0,0,0,0,0,0,0,0,0,0,2500,4500,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-123.028744,49.305502,249,52ccdb0b-c77e-41ba-81a9-7e5f44c1344a,-13695497.1826239,6326858.58689255
Pitt Meadows,Station,Pitt Meadows,Maple Ridge/Pitt Meadows,1995,701; 719/722; 791,57577; 57663; 59796,West Coast Express,130,130,60,60,60,60,190,190,0,0,0,0,0,0,0,0,0,0,7000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-122.687865,49.225662,250,3d30c6d8-dce8-4080-a39d-fa077b4733ed,-13657574.3476497,6313206.59144252
Port Coquitlam,Station,Port Coquitlam,Northeast Sector,1995,159; 160; 170; 173/174; 175; 188,53348; 53440; 53740; 53767; 53777; 53783,West Coast Express,410,410,230,250,180,220,490,470,0,0,0,0,0,0,0,0,0,0,6000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.773982,49.261497,251,565fb1ea-ea4a-4843-85e1-4a8d0fb3b821,-13667177.1708809,6319254.4733984
Port Haney,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,733; 741; 743; 745/746; 748,57695; 57703; 59709,West Coast Express,90,90,0,0,0,0,270,230,10,0,0,0,0,0,0,0,0,0,4000,2000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-122.606021,49.212335,252,7ff972e3-03bf-4f46-afe3-00795d22ee31,-13648409.9862829,6310977.84178636
Production Way-University,Station,Burnaby,Burnaby/New Westminster,2002,110; 136; 145; N9,58349; 59314; 59315; 59316,Expo/Millennium Line,3800,3900,1500,1900,1100,1200,4950,4970,2130,2050,1590,1580,0,0,0,0,0,0,3000,15000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2023,-122.91813,49.253407,253,f7191323-6160-4e2a-b3a3-b859fd177229,-13683179.9773674,6318022.63637086
Renfrew,Station,Vancouver,Vancouver/UBC,2002,016,51082; 58401,Expo/Millennium Line,1000,890,840,840,710,610,3410,3240,2360,2170,1880,1720,0,0,0,0,0,0,9000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.045286,49.25893,254,1b1d2c67-33b1-4933-96a1-806d09aae8ba,-13697235.7488613,6318952.02599282
Richmond-Brighouse,Station,Richmond,Southwest,2009,301; 401; 402; 403; 404; 405; 406; 408; 410; 414; 416; 430; N10,56451; 56480; 56549; 56689; 58279; 58624; 60482; 60483; 61332; 61334,Canada Line,12200,12200,9000,8900,7800,7300,10350,9590,8490,8100,6950,6700,0,0,0,0,0,0,24000,23000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.136345,49.168295,255,e5783522-f3ad-4b5b-9aef-6fb56dc96104,-13707498.7769122,6303285.0933679
Royal Oak,Station,Burnaby,Burnaby/New Westminster,1985,148,59781,Expo/Millennium Line,280,310,170,180,180,180,5360,5290,3960,3960,3070,3120,0,0,0,0,0,0,16000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.988428,49.220063,256,87357a7f-94e9-4aea-93e0-44af5714bece,-13691006.5481733,6312283.10542968
Rupert,Station,Vancouver,Vancouver/UBC,2002,027,58129; 58130,Expo/Millennium Line,490,430,450,360,300,240,2430,2320,2090,1970,1790,1720,0,0,0,0,0,0,7000,10000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2023,-123.032865,49.26076,257,10a0f303-3d89-4347-865c-3ea56751d7fb,-13695981.4313999,6319219.93927685
SFU,Exchange,Burnaby,Burnaby/New Westminster,1993,143; 144; 145; N35; R5,51861; 52807; 52998; 53096,None,4700,4200,1600,1500,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,5500,3100,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2023,-122.912628,49.278712,258,81de3609-0ccd-487a-a87c-eec76bfb70f8,-13682571.1736804,6322286.0396562
Sapperton,Station,New Westminster,Burnaby/New Westminster,2002,109,53111; 53218,Expo/Millennium Line,20,30,10,20,10,20,2940,2750,1640,1480,1190,1050,0,0,0,0,0,0,7000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2023,-122.889394,49.224651,259,ec3f40b9-07e9-4fe4-a750-d9849a820752,-13680045.4395634,6313144.36899169
