Exchange_Name,Exchange_Primary_Type,Municipality,Sub_Region,YearOpen,Line_Connections,Connecting_Stops,Rail_SeaBus_Connections,BusExch_MF_Avg_Daily_Boardings,BusExch_MF_Avg_Daily_Alightings,BusExch_Sat_Avg_Daily_Boardings,BusExch_Sat_Avg_Daily_Alighting,BusExch_SunHol_Avg_Daily_Boardings,BusExch_SunHol_Avg_Daily_Alightings,Rail_MF_Avg_Daily_Boardings,Rail_MF_Avg_Daily_Alightings,Rail_Sat_Avg_Daily_Boardings,Rail_Sat_Avg_Daily_Alightings,Rail_SunHol_Avg_Daily_Boardings,Rail_SunHol_Avg_Daily_Alightings,SeaBus_MF_Avg_Daily_Boardings,SeaBus_MF_Avg_Daily_Alightings,SeaBus_Sat_Avg_Daily_Boardings,SeaBus_Sat_Avg_Daily_Alightings,SeaBus_SunHol_Avg_Daily_Boardings,SeaBus_SunHol_Avg_Daily_Alightings,Population,Employment,Population_Employment_Area,BusExch_On_Off_Street,Bike_Parkade,Bike_Locker_s_,TSPR_Year,Exch_Centre_Longitude,Exch_Centre_Latitude,OBJECTID,GlobalID,x,y
Mission City,Station,Mission,Outside of Region,1995,701,60979,West Coast Express,41,45,0,0,0,0,406,268,0,0,0,0,0,0,0,0,0,0,3000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.303473,49.133159,332,f3e6d188-066b-4630-a02a-ac20739f6a7b,-13614760.2864,6297486.0314
Moody Centre,Station,Port Moody,Northeast Sector,1995,160; 180; 181; 182; 183; 184/185,58945; 61889; 61890; 61891; 61892; 61911; 61912; 61922,Expo/Millennium Line; West Coast Express,1168,1300,508,587,397,465,2434,2214,1824,1826,1342,1334,0,0,0,0,0,0,9000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.846308,49.277696,333,ebccf86c-53e6-4e07-8efc-8cb62f766d54,-13675188.4734,6322112.5429
Nanaimo,Station,Vancouver,Vancouver/UBC,1985,007; 025,50688; 51560; 60314,Expo/Millennium Line,4495,4212,3321,3024,2649,2414,6649,6647,5442,5312,4292,4268,0,0,0,0,0,0,14000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.05591,49.248323,334,44dff3e1-6eae-41fd-a3fc-55620d2f70b5,-13698521.256,6317102.1177
New Westminster,Station,New Westminster,Burnaby/New Westminster,1985,102/103; 105; 106; 109; 112; 123; 321; N19,61649; 61650; 61651; 61652; 61654; 61655; 61656; 61657; 61678,Expo/Millennium Line,6618,4355,4939,3441,3878,2701,14206,14723,10168,10364,7621,7893,0,0,0,0,0,0,21000,12000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.912899,49.201264,335,447167b8-f94f-41a4-a8a3-111a1d9527c8,-13682601.3223,6309080.8588
Newton,Exchange,Surrey,Southeast,1975,301; 319; 321; 322; 323; 324; 325; 335; 341; 342; 393; 394; R1; R6,55411; 55456; 55538; 55578; 55645; 55688; 55944; 56019; 60677; 61703; 61704; 61705,None,18966,17499,14999,13609,13038,11802,0,0,0,0,0,0,0,0,0,0,0,0,11000,9000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.842792,49.133023,336,6d6e2519-13ed-42a2-b106-1fa6bc563c51,-13674797.0493,6297462.8312
NightBus District,Exchange,Vancouver,Vancouver/UBC,2003,004; 007; 010; 014; 015/050; 016; 209; 210; 211; 214; N15; N19; N20; N22; N24; N35; N8,50526; 54828; 59831; 59832; 61917,None,2011,842,1330,769,1169,611,0,0,0,0,0,0,0,0,0,0,0,0,30000,134000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.117092,49.284537,337,d663b182-1162-4917-ad7b-e3d378622d94,-13705332.0161,6323280.008
Oakridge-41st Avenue,Station,Vancouver,Vancouver/UBC,2009,015/050; 041; N15; R4,50160; 50621; 60349; 61281,Canada Line,6673,7052,4548,4834,3854,3725,7113,6829,5411,5154,4311,4339,0,0,0,0,0,0,13000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.116178,49.233536,338,899a0acb-1831-44d5-8a0d-38577b7858b2,-13705230.2145,6314580.7849
Olympic Village,Station,Vancouver,Vancouver/UBC,2009,015/050; 084,61039; 61040; 61254,Canada Line,2040,1777,1234,1098,836,720,4012,3620,2839,2641,2205,2041,0,0,0,0,0,0,17000,36000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.115499,49.266307,339,8c16b936-c614-4272-a596-f7ffda0c1953,-13705154.6384,6320169.5191
Park Royal,Exchange,West Vancouver,North Shore,1959,044; 250; 251; 252; 253; 254; 255; 256; 257; R2,54411; 54441; 54442; 54608; 61772; 61782,None,5126,4972,5058,4796,4138,3917,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.137719,49.327948,340,78975cae-714b-4f9c-92ac-7043167c1574,-13707628.2036,6330691.6854
Patterson,Station,Burnaby,Burnaby/New Westminster,1985,110; 129/133,52515; 52586,Expo/Millennium Line,873,843,424,409,416,344,4252,4357,3368,3469,2657,2863,0,0,0,0,0,0,24000,20000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.012467,49.229691,341,3c57226c-4afd-4955-883e-8a4edfdda17d,-13693685.1927,6313925.4745
Phibbs,Exchange,North Vancouver District,North Shore,1973,028; 130; 209; 210; 211; 212; 214; 215; 222; 227; 232; 245; R2,60253; 60255; 60256; 60257; 60683; 60684; 60685; 60686; 60687; 60688; 60689; 60691,None,8360,8148,3907,3883,3268,3108,0,0,0,0,0,0,0,0,0,0,0,0,3000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-123.028744,49.305502,342,4de4db61-6a4b-4f68-a7b2-fb13fdc39294,-13695497.1826,6326858.5869
Pitt Meadows,Station,Pitt Meadows,Maple Ridge/Pitt Meadows,1995,701; 719/722; 791,57577; 57663; 59796,West Coast Express,119,128,62,68,54,48,207,203,0,0,0,0,0,0,0,0,0,0,10000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.688078,49.225474,343,ceea2d07-3a1d-40f3-8fca-63d8e13da9a1,-13657574.3476,6313206.5914
Port Coquitlam,Station,Port Coquitlam,Northeast Sector,1995,159; 160; 170; 173/174; 175; 188,53348; 53440; 53740; 53767; 53777; 53783,West Coast Express,422,408,223,234,182,210,568,552,0,0,0,0,0,0,0,0,0,0,8000,8000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.774341,49.260943,344,ac29741c-f1f3-44f3-8644-438cd746c67e,-13667177.1709,6319254.4734
Port Haney,Station,Maple Ridge,Maple Ridge/Pitt Meadows,1995,733; 741; 743; 745/746; 748,57695; 57703; 59709,West Coast Express,94,90,0,0,0,0,325,280,0,0,0,0,0,0,0,0,0,0,6000,4000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-122.605753,49.212397,345,912bd3ed-d490-463c-bb9f-8f5512e85699,-13648409.9863,6310977.8418
Production Way-University,Station,Burnaby,Burnaby/New Westminster,2002,110; 136; 145; N9,58349; 59314; 59315; 59316,Expo/Millennium Line,4372,4227,1320,1487,1015,1008,4906,4862,2089,1998,1557,1549,0,0,0,0,0,0,4000,14000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.918097,49.253721,346,6fbd9d54-24af-4497-bf6e-4f3eeb568020,-13683179.9774,6318022.6364
Renfrew,Station,Vancouver,Vancouver/UBC,2002,016,51082; 58401,Expo/Millennium Line,1108,1031,754,705,656,586,4506,4334,2511,2303,1925,1775,0,0,0,0,0,0,10000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.044362,49.25917,347,85e2f330-4cd5-4a29-bfa8-7dad1f528cc3,-13697235.7489,6318952.026
Richmond-Brighouse,Station,Richmond,Southwest,2009,301; 401; 402; 403; 404; 405; 406; 408; 410; 414; 416; 430; N10,56451; 56480; 56549; 56689; 58279; 58624; 60482; 60483; 61332; 61334,Canada Line,11767,11512,8017,7866,7462,7035,10840,10235,8750,8393,7163,6923,0,0,0,0,0,0,26000,23000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.136557,49.167233,348,25da0cfd-5115-4aea-8c9b-ae1dff1ddb7a,-13707498.7769,6303285.0934
Royal Oak,Station,Burnaby,Burnaby/New Westminster,1985,148,59781,Expo/Millennium Line,295,313,149,158,162,146,5579,5508,3961,3954,3109,3141,0,0,0,0,0,0,19000,20000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.988404,49.220056,349,0ac4d953-ac9b-4efe-af31-fc1f69eb7b74,-13691006.5482,6312283.1054
Rupert,Station,Vancouver,Vancouver/UBC,2002,027,58129; 58130,Expo/Millennium Line,1161,1049,765,714,564,540,2547,2448,2115,2006,1737,1689,0,0,0,0,0,0,8000,11000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,Yes,2024,-123.033095,49.26074,350,8b6a831b-9181-40a4-99bb-048b0d830766,-13695981.4314,6319219.9393
Sapperton,Station,New Westminster,Burnaby/New Westminster,2002,109,53218,Expo/Millennium Line,214,158,115,88,87,67,3172,2964,1803,1626,1338,1178,0,0,0,0,0,0,7000,7000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.889939,49.225109,351,bd688fb4-4560-4dd3-8cbe-3093e2e03032,-13680045.4396,6313144.369
Scott Road,Station,Surrey,Southeast,1990,312; 319; 321; 371; 391; 640; N19; R6,53104; 55096; 55200; 55835; 56397; 57566; 58150,Expo/Millennium Line,10935,10345,7537,7115,6113,5720,12327,12637,9355,9373,7143,7253,0,0,0,0,0,0,3000,4000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.87357,49.2037,352,b589606f-e0a8-431f-9166-6a34f60fbe53,-13678223.2577,6309495.9273
Scottsdale,Exchange,Surrey,Southeast,1998,301; 310; 311; 312; 316; 319; 322; 329; 340; 364; 391,54793; 54887; 55041; 55178; 55192; 55499; 55941; 56022; 56394,None,5237,5041,3870,3784,3597,3440,0,0,0,0,0,0,0,0,0,0,0,0,14000,6000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.88816,49.137548,353,99e17c6e-77ad-47fa-ae2a-fd1c63c61fee,-13679847.3883,6298232.6827
Sea Island Centre,Station,Richmond,Southwest,2009,N10,52112; 52228,Canada Line,0,0,0,0,0,0,1001,1073,663,699,600,675,0,0,0,0,0,0,400,6000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.157925,49.192766,354,282c2972-020a-4005-b920-72a263aa74f5,-13709877.5057,6307633.2131
SFU,Exchange,Burnaby,Burnaby/New Westminster,1993,143; 144; 145; N35; R5,51861; 52807; 53096; 60662,None,4925,4506,1324,1569,1077,1205,0,0,0,0,0,0,0,0,0,0,0,0,7000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-122.912628,49.278712,355,065a1fc2-0bb8-4a7e-8440-bf91aed33819,-13682571.1737,6322286.0397
Snug Cove,Exchange,Bowen Island,North Shore,,280; 281; 282,58013,None,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.333561,49.379762,356,6c0a0ccf-7cb3-46c0-a846-978e3e878862,-13729429.1893,6339546.5369
South Delta,Exchange,Delta,Southwest,1975,601; 602; 603; 604; 609; 614; 619,57377; 58597; 59852,None,272,279,128,122,110,113,0,0,0,0,0,0,0,0,0,0,0,0,5000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.067915,49.036056,357,4161eb54-af11-4758-9f1a-fca5681746cb,-13699857.6622,6280981.5289
South Surrey,Exchange,Surrey,Southeast,1991,321; 351; 352; 354; 394,59810; 59931; 59932; 59933,None,1811,1731,1157,1111,1099,1008,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.821967,49.072485,358,6256637c-0fb0-463f-a904-7697b9deeda5,-13672478.8088,6287169.5201
Sperling-Burnaby Lake,Station,Burnaby,Burnaby/New Westminster,2002,110; 134; 144,58440; 58441; 58442,Expo/Millennium Line,1442,1315,907,870,630,547,1859,1687,1319,1139,971,883,0,0,0,0,0,0,4000,3000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.964063,49.258951,359,4e414add-b3c9-4244-8c3b-9d39e9b05bdc,-13688296.8414,6318914.7467
Stadium-Chinatown,Station,Vancouver,Vancouver/UBC,1985,005/006; 023; 257; N15; N24,50081; 59558; 59991; 59992; 60302,Expo/Millennium Line,2246,1905,2071,1646,1619,1396,14263,14610,14489,15626,9602,9747,0,0,0,0,0,0,41000,76000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.109729,49.279615,360,e0b9a28b-eb2a-4416-920a-234ea97f007a,-13704512.3906,6322440.0125
Stanley Park,Loop,Vancouver,Vancouver/UBC,2003,019,58727; 58728,None,448,486,670,752,643,699,0,0,0,0,0,0,0,0,0,0,0,0,200,0,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.133859,49.300537,361,5f0b1367-762e-4063-818d-60099ecae31c,-13707198.4371,6326010.8674
Steveston,Exchange,Richmond,Southwest,,401; 402; 406; 407; 413,56421; 56517; 58194,None,658,553,592,428,568,434,0,0,0,0,0,0,0,0,0,0,0,0,7000,3000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.184108,49.126421,362,251c0a6d-ea3b-4ce3-a46c-34798050869a,-13712792.1994,6296339.61729999
Surrey Central,Station,Surrey,Southeast,1994,314; 316; 320; 321; 323; 324; 325; 326; 329; 335; 337; 371; 373; 393; 501; 502; 503; 509; N19; R1,54993; 55070; 55210; 55441; 55612; 55713; 55714; 55738; 55836; 56395; 56406; 61035; 61036; 61677; 61787,Expo/Millennium Line,31792,21999,23519,17058,19823,14425,18413,24031,14008,17919,10695,14032,0,0,0,0,0,0,23000,15000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-122.84778,49.189347,363,178cedf2-b1f1-4b40-a218-857061c054ae,-13675352.3577,6307050.8802
Templeton,Station,Richmond,Southwest,2009,N10,52115; 52226,Canada Line,0,0,0,0,0,0,3385,3544,3689,3833,3741,3968,0,0,0,0,0,0,200,2000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.146476,49.19674,364,08fd7007-fe11-4480-aec6-c6901db8efb8,-13708603.055,6308310.1725
Tsawwassen Ferry Terminal,Exchange,Delta,Southwest,,620,56669; 61767,None,1103,969,1299,1110,1416,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.130235,49.007172,365,bd53372c-104a-4f45-8948-950cd481f8fd,-13706795.0957,6276078.463
UBC,Exchange,UBC/UEL,Vancouver/UBC,1945,004; 009; 014; 025; 033; 044; 049; 068; 084; 099; N17; R4,58895; 60158; 60159; 60160; 60162; 60163; 60164; 60358; 61701; 61702; 61935,None,21767,19220,9471,8402,7475,7156,0,0,0,0,0,0,0,0,0,0,0,0,6200,12000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,No,2024,-123.247907,49.267244,366,55561369-c18a-4def-9428-c020f34ab316,-13719894.224,6320329.3395
Vancouver City Centre,Station,Vancouver,Vancouver/UBC,2009,004; 007; 010; 014; 015/050; 016; 017; 020; 240; 241; 246/249; 247; 250; 253; 254; 257; N15; N19; N20; N22; N24; N35; N8,50976; 54445; 58504; 60980; 61031; 61293,Canada Line; Expo/Millennium Line,12980,10777,10866,8931,9044,7452,14832,15776,12075,12660,9997,10222,0,0,0,0,0,0,48000,149000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.118251,49.282354,367,95bf58a7-e6ac-4309-a9b3-476bb7480a49,-13705460.9985,6322907.4808
VCC-Clark,Station,Vancouver,Vancouver/UBC,2006,084,59767; 59803,Expo/Millennium Line,1891,1825,674,775,402,402,2984,2637,1394,1194,947,841,0,0,0,0,0,0,16000,14000,Within 800m of centre point of location (all exchange points/facilities),Off-Street,No,Yes,2024,-123.078938,49.265767,368,d5f3515e-a6b4-47ea-9cd7-ab84a4026c79,-13701084.713,6320077.4325
Waterfront,Station,Vancouver,Vancouver/UBC,1985,003; 004; 007; 008; 010; 015/050; 044; N8; R5,50034; 50035; 50040; 50408; 58202,Canada Line; Expo/Millennium Line; SeaBus; West Coast Express,13167,13168,11339,11779,9292,9245,31851,29100,24338,22724,19601,18203,0,0,0,0,0,0,22333,118000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.11208,49.286,369,fe9e5f7c-4fb5-45d3-aa03-ca7292d9657c,-13704774.079,6323529.6582
White Rock Centre,Exchange,Surrey,Southeast,1975,321; 345; 350; 351; 352; 354; 360; 361; 362; 363; 375; 394; 531,55383; 55488; 55489; 56030; 56081; 56116; 56136; 56280; 56388; 61629,None,2594,2315,2082,1909,1817,1642,0,0,0,0,0,0,0,0,0,0,0,0,19000,9000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-122.801288,49.031979,370,b3d6d6b7-9d21-42da-a501-d34bed20215a,-13670176.891,6280289.3535
Yaletown-Roundhouse,Station,Vancouver,Vancouver/UBC,2009,005/006; 023,50016; 50023; 50085; 61215,Canada Line,2192,1523,1742,1232,1338,967,8955,8761,7965,8135,6326,6204,0,0,0,0,0,0,53000,60000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.12196,49.274398,371,4f7dbd49-1a95-47db-9bf2-f039d1f56f82,-13705873.9355,6321549.8679
YVR-Airport,Station,Richmond,Southwest,2009,,,Canada Line,0,0,0,0,0,0,8160,7514,7422,6727,7749,6527,0,0,0,0,0,0,0,5000,Within 800m of centre point of location (all exchange points/facilities),On-Street,No,No,2024,-123.180023,49.193899,372,77b6e514-03d5-44e7-b051-e14082e0356d,-13712337.4376,6307826.1938
