SeasonYear,Lineno_renamed,DayType,Season,HourRange,direction_updated,Average_Peak_Passenger_Load,Average_Peak_Load_Factor
2023,3,Sun/Hol,Summer,6,SOUTH,12.00875,17.15535714
2023,3,Sun/Hol,Summer,6,NORTH,22.86533845,32.66476921
2023,3,Sun/Hol,Summer,9,SOUTH,39.15143009,55.93061442
2023,3,Sun/Hol,Summer,9,NORTH,37.47237726,53.53196752
2023,3,Sun/Hol,Summer,15,SOUTH,39.28381252,56.11973217
2023,3,Sun/Hol,Summer,15,NORTH,38.38736897,54.83909853
2023,3,Sun/Hol,Summer,18,SOUTH,32.33427707,46.19182438
2023,3,Sun/Hol,Summer,18,NORTH,22.51698302,32.1671186
2023,3,Sun/Hol,Summer,21,SOUTH,22.78431437,32.54902053
2023,3,Sun/Hol,Summer,21,NORTH,17.27369297,24.67670425
2023,3,Sun/Hol,Summer,24,SOUTH,NULL,NULL
2023,3,Sun/Hol,Summer,24,NORTH,NULL,NULL
2023,4,MF,Fall,4,WEST,15.75117371,33.51313555
2023,4,MF,Fall,4,EAST,4.357677123,9.271653454
2023,4,MF,Fall,6,WEST,31.10390726,66.17852609
2023,4,MF,Fall,6,EAST,25.77600511,54.84256407
2023,4,MF,Fall,9,WEST,27.44007204,58.38313199
2023,4,MF,Fall,9,EAST,26.31109483,55.98105283
2023,4,MF,Fall,15,WEST,31.55297886,67.13399758
2023,4,MF,Fall,15,EAST,35.85010627,76.27682186
2023,4,MF,Fall,18,WEST,22.91184079,48.74859742
2023,4,MF,Fall,18,EAST,29.27386625,62.28482182
2023,4,MF,Fall,21,WEST,19.97164105,42.4928533
2023,4,MF,Fall,21,EAST,14.73928213,31.36017475
2023,4,MF,Fall,24,WEST,NULL,NULL
2023,4,MF,Summer,4,WEST,18.55902778,39.48729314
2023,4,MF,Summer,4,EAST,4.398065476,9.35758612
2023,4,MF,Summer,6,WEST,21.75645396,46.29032758
2023,4,MF,Summer,6,EAST,24.30858993,51.72040411
2023,4,MF,Summer,9,WEST,24.67559972,52.50127599
2023,4,MF,Summer,9,EAST,22.19185717,47.21671739
2023,4,MF,Summer,15,EAST,31.56117244,67.15143072
2023,4,MF,Summer,15,WEST,30.92899581,65.80637407
2023,4,MF,Summer,18,EAST,26.85299242,57.13402643
2023,4,MF,Summer,18,WEST,22.92039793,48.7668041
