Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
640,LADNER EXCH/SCOTT ROAD STN,Southeast,Std. Bus,Peak Frequent,15000,25000,20.6,35 km/h,60,1304091,4419,1911,1606,3,86%,4369054,47403,,Ladner; Scott Road,Expo/Millennium Line,50630.7643542935,2024,788,50630.7643543138,c0a3c714-7f1a-42a5-8c58-7c5f358a2bdb
701,HANEY/MAPLE RIDGE EAST/COQ STN,Maple Ridge/Pitt Meadows,Std. Bus,All Day Frequent,87000,48000,25.4,29 km/h,61,1259019,3742,3081,2570,1,72%,6265300,57717,,Coquitlam Central; Haney Place; Maple Meadows; Mission City; Pitt Meadows,Expo/Millennium Line; West Coast Express,119053.593622785,2024,789,119053.593622767,05dcff47-5263-4c46-a4ba-10d5d42a90f6
719/722,MEADOWTOWN/BONSON/FRASER WAY,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,22000,12000,6,22 km/h,188,18932,71,24,32,0,81%,350788,5136,,Maple Meadows; Meadowtown; Pitt Meadows,West Coast Express,18891.8135389903,2024,790,18891.8135389903,79a0e175-d99d-4c05-8f06-6b55e4729a68
733,ROCK RIDGE/HANEY PL/PT HANEY STN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,28000,11000,6.9,28 km/h,173,66953,212,138,108,0,89%,527017,7920,,Haney Place; Port Haney,West Coast Express,18550.646871402,2024,791,18550.6468714423,2a823b3a-79b9-4371-a7bc-35fb48ac9d69
741,ANDERSON CREEK/HANEY PL/PT HANEY ST,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,23000,10000,7,28 km/h,175,63916,209,109,96,0,90%,509283,7732,,Haney Place; Port Haney,West Coast Express,19646.2290874076,2024,792,19646.2290874356,1168e58f-764d-4453-bcb7-39e43737a990
743,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,35000,19000,7.7,25 km/h,178,56862,206,93,10,0,83%,741062,10681,,Haney Place; Maple Meadows; Meadowtown; Port Haney,West Coast Express,21590.0084359256,2024,793,21590.0084359224,ea7f08b6-301a-4c83-8ed8-4cb4a61bfb09
744,HANEY PL/MAPLE MDWS STN/MEADOWTOWN,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,36000,19000,11.3,24 km/h,169,79793,296,111,134,0,82%,726838,10638,,Haney Place; Maple Meadows; Meadowtown,West Coast Express,19232.5644950931,2024,794,19232.564495108,0dd69b02-5a2f-4caf-975d-7665428c4797
745/746,HANEY PLACE/COTTONWOOD/ALBION,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,47000,15000,10.2,30 km/h,145,198751,695,249,196,1,81%,1004135,16272,,Haney Place; Port Haney,West Coast Express,39363.707581127,2024,795,39363.7075811664,7b1708ee-c66a-464e-b6c9-5f330371f59e
748,THORNHILL/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,28000,11000,19.6,36 km/h,191,15102,54,32,29,0,71%,195255,2755,,Haney Place; Port Haney,West Coast Express,40991.8745763741,2024,796,40991.8745764066,ab183895-3bb3-4a67-994b-95ad48f3b69e
749,RUSKIN/HANEY PLACE,Maple Ridge/Pitt Meadows,Mini-Bus,Basic,27000,11000,17.4,40 km/h,190,15143,53,37,33,0,73%,175199,2589,,,,47075.0043452341,2024,797,47075.0043452712,83b47b44-1dc1-4b69-bf43-3cdf8aa121aa
791,HANEY PLACE/BRAID STN,Maple Ridge/Pitt Meadows,Std. Bus,Basic,50000,51000,26.9,31 km/h,110,572816,2293,0,1798,10,77%,2170748,21599,,Braid; Haney Place; Maple Meadows; Pitt Meadows,Expo/Millennium Line; West Coast Express,67938.7843485261,2024,798,67938.7843485039,f0ec43ac-2214-4c08-a4b7-2acdd2b9fad0
R1,KING GEORGE BLVD,Southeast,Artic. Bus,All Day Frequent,83000,48000,10.8,19 km/h,8,5163383,15436,12021,10690,15,84%,5883318,59606,Upgraded to R1 RapidBus from 96 B-Line in Jan 2020,Guildford; King George; Newton; Surrey Central,Expo/Millennium Line,32291.6706529458,2024,799,32291.6706529779,cabc409f-4a77-4fca-875b-d9c5fe7ae595
R2,MARINE DR,North Shore,Artic. Bus,All Day Frequent,40000,38000,10.2,20 km/h,43,1943733,5728,4979,3979,0,78%,5334167,50331,New R2 RapidBus launched Apr 2020,,,19990.5401787761,2024,800,19990.5401787347,a4021407-bead-4eef-95d8-791312eeb2aa
R3,LOUGHEED HWY,Maple Ridge/Pitt Meadows,Artic. Bus,All Day Frequent,36000,26000,17.3,35 km/h,75,1069905,3183,2671,2131,0,93%,4828579,45322,New R3 RapidBus launched Apr 2020,Coquitlam Central; Haney Place,Expo/Millennium Line; West Coast Express,44874.4552585537,2024,801,44874.4552585744,adb397dd-9638-4f74-8094-f211f1b3013c
R4,41ST AVE,Vancouver/UBC,Artic. Bus,All Day Frequent,90000,41000,19.3,27 km/h,2,8802709,27902,18053,14096,17,74%,11975846,116465,New R4 RapidBus launched Apr 2020,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue; UBC,Canada Line; Expo/Millennium Line,47357.8814076469,2024,802,47357.8814076292,f0f78665-b196-490d-b1ca-b8a88140e38d
R5,HASTINGS ST,Burnaby/New Westminster,Artic. Bus,All Day Frequent,98000,173000,12.5,23 km/h,11,4346935,13710,8871,7260,13,82%,9070074,75838,Upgraded to R5 RapidBus from 95 B-Line in Jan 2020; Data reflects former 135 route up to Dec 2016,Burrard; Kootenay; SFU; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40036.2164514787,2024,803,40036.2164515047,9326c757-2a60-4049-bd09-df35362cdb67
R6,SCOTT RD,Southeast,Artic. Bus,All Day Frequent,54000,32000,12.1,23 km/h,7,5246153,15681,12486,10651,9,93%,,68213,New R6 RapidBus launched Jan 2024,Newton; Scott Road,Expo/Millennium Line,36768.749594029,2024,804,36768.7495940596,b323c640-5e44-4b12-8787-8ebc403010cc
042,ALMA/SPANISH BANKS,Vancouver/UBC,Mini-Bus,Special,9000,3000,3.6,24 km/h,195,8764,0,206,202,0,95%,34457,699,Route is summer seasonal only,,,7101.41922688451,2024,805,7101.41922687588,7ed04904-8fb1-4549-9579-5a187904a87b
179,COQUITLAM CENTRAL STN/BUNTZEN LAKE,Northeast Sector,Std. Bus,Special,38000,20000,12,28 km/h,192,14792,0,369,322,0,84%,76889,1012,,Coquitlam Central; Inlet Centre,Expo/Millennium Line; West Coast Express,23816.2896554051,2024,806,23816.2896553706,cd19bd45-9342-4521-9ef9-ff9aac9ce552
SeaBus,WATERFRONT STN/LONSDALE QUAY,North Shore,SeaBus,Special,29700,103500,3.2,,5,5954153,16841,17156,13364,,,,11100,,Lonsdale Quay; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,4903.09463766641,2024,807,4903.09463766526,5312cbf2-60cc-48f0-bc47-de3e54c2ae75
044,UBC/DOWNTOWN,Vancouver/UBC,Artic. Bus,Peak Frequent,132000,211000,17,21 km/h,69,1193669,4784,0,2408,7,78%,1851671,21640,,Burrard; Park Royal; UBC; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,44459.4985503149,2024,808,44459.498550341,4b81dd63-60e8-4d62-8e03-2dfb2a69591c
