Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,NOTE,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2,GlobalID
131,HASTINGS AT GILMORE/KOOTENAY LOOP,Burnaby/New Westminster,Mini-Bus,Basic,21000,7000,4.5,20 km/h,182,38657,126,68,59,0,82%,388469,5581,,,,8954.2847158505,2024,658,8954.2847158678,252619c4-b020-4bd1-80e4-553376c74b9d
132,CAPITOL HILL/HASTINGS AT GILMORE,Burnaby/New Westminster,Mini-Bus,Basic,15000,6000,3.8,21 km/h,181,39646,128,76,60,0,81%,176024,2624,,,,6925.44404277074,2024,659,6925.44404278185,4015169b-0393-43bc-b82d-f5143c38e790
134,LAKE CITY STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,51000,26000,9.4,23 km/h,122,445707,1373,935,849,0,86%,1875190,18939,,Brentwood Town Centre; Lake City Way; Sperling-Burnaby Lake,Expo/Millennium Line,30174.2270661701,2024,660,30174.2270661864,6d145971-c503-4f4c-8801-43c1121101c8
136,LOUGHEED STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,68000,45000,11,24 km/h,123,434166,1361,915,734,0,85%,1997044,21261,,Brentwood Town Centre; Holdom; Lougheed Town Centre; Production Way-University,Expo/Millennium Line,29842.0858869951,2024,661,29842.0858870124,8d9b9480-7f5b-4eb0-ad74-fc23eb348ca5
143,BURQUITLAM STN/SFU,Northeast Sector,Artic. Bus,Peak Frequent,24000,7000,7,31 km/h,121,455804,1829,0,380,2,93%,1144003,9280,,Burquitlam; SFU,Expo/Millennium Line,17812.7965452277,2024,662,17812.7965452278,4774c8a7-9cf1-490d-a617-79c6509154d1
144,SFU/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,72000,39000,15,24 km/h,53,1529297,4947,3002,2176,2,83%,4400883,42605,,Metrotown; SFU; Sperling-Burnaby Lake,Expo/Millennium Line,38961.0347440497,2024,663,38961.0347440653,a6cc1c7a-722c-45e6-8268-0ec72f715e7f
145,SFU/PRODUCTION STN,Burnaby/New Westminster,Artic. Bus,Peak Frequent,16000,18000,8.1,30 km/h,56,1416602,5007,1681,1269,6,95%,3060437,25989,,Production Way-University; SFU,Expo/Millennium Line,21713.6617530392,2024,664,21713.6617530487,126b6080-30e3-41b0-9365-2d5a307fdd6e
146,METROTOWN STN/SUNCREST,Burnaby/New Westminster,Mini-Bus,Standard,40000,28000,3.4,22 km/h,160,104571,323,210,203,0,86%,393010,6265,,Metrotown,Expo/Millennium Line,7664.29428998629,2024,665,7664.29428997778,5a2e6905-adcd-4159-adbd-609c0eea2425
147,METROTOWN STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,67000,32000,6.7,22 km/h,114,496237,1529,1092,903,1,94%,1103161,17493,,Edmonds; Metrotown,Expo/Millennium Line,11401.759443247,2024,666,11401.7594432304,52caa4a7-250f-4ea8-9ac6-d344810529a7
148,ROYAL OAK STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,45000,30000,6.3,26 km/h,125,391934,1247,704,690,0,88%,797451,12196,,Edmonds; Royal Oak,Expo/Millennium Line,10609.2471782868,2024,667,10609.2471782821,7af1257b-7a2c-4520-bdc8-084cd26e363a
151,COQUITLAM CTRL STN/BURQUITLAM STN,Northeast Sector,Std. Bus,Standard,47000,19000,7.7,28 km/h,126,389281,1213,776,722,0,93%,1676540,15582,,Burquitlam; Coquitlam Central,Expo/Millennium Line; West Coast Express,20317.7087003637,2024,668,20317.7087003912,fef80730-e48b-4bf4-a410-5729df53735a
152,COQUITLAM CENTRAL STN/LOUGHEED STN,Northeast Sector,Std. Bus,Peak Frequent,59000,28000,13.1,24 km/h,90,880407,2850,1638,1317,1,92%,2420260,22829,,Coquitlam Central; Lougheed Town Centre,Expo/Millennium Line; West Coast Express,32594.9603576155,2024,669,32594.9603576358,99e4964e-fcb7-4b4f-b87c-12762bc6ce51
