SeasonYear,Lineno_renamed,DayType,Season,Hour_Range,Annual_Revenue_Hours,Annual_Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip
2022,7,SUN,Summer,6,127.4,171.2,2,42.51136442,37.6107488
2022,7,SUN,Summer,9,612,755,3.833333333,55.44576982,61.47248393
2022,7,SUN,Summer,15,334.6,393,4,57.54857414,66.86025315
2022,7,SUN,Summer,18,220.6,282,3,53.66802228,54.81095238
2022,7,SUN,Summer,21,188.6,239.4,2.833333333,40.78151865,37.70291381
2022,7,SUN,Summer,24,47.4,86,1.5,15.9490968,12.59978647
2022,8,MF,Fall,4,261.1,384.7,2.25,44.41403899,17.89584194
2022,8,MF,Fall,6,1249.68,1541.28,4.5,89.17977825,57.32828461
2022,8,MF,Fall,9,2770.96,3222.16,4.083333333,83.22717246,65.36824427
2022,8,MF,Fall,15,1461.26,1732.46,4,102.806796,86.93718677
2022,8,MF,Fall,18,1238.98,1559.38,4.166666667,65.06457338,44.78539174
2022,8,MF,Fall,21,1016.38,1250.38,4.333333333,44.12608459,23.95772962
2022,8,MF,Fall,24,302.32,429.52,2.166666667,21.45869839,8.191153656
2022,8,MF,Summer,4,174.0666666,256.4666666,2.25,41.51537392,16.72787674
2022,8,MF,Summer,6,833.1199999,1027.52,4.5,76.69405508,49.30196849
2022,8,MF,Summer,9,1840.906666,2148.106666,4.083333333,81.69129179,63.9396444
2022,8,MF,Summer,15,974.1733332,1154.973333,4,95.24510105,80.54274094
2022,8,MF,Summer,18,825.9866665,1039.586666,4.166666667,66.62545038,45.85977805
2022,8,MF,Summer,21,677.5866665,833.5866665,4.333333333,46.62799478,25.31611182
2022,8,MF,Summer,24,201.5466666,286.3466666,2.166666667,24.83679372,9.480630651
2022,8,SAT,Fall,4,45.1249999,61.1249999,2.5,22.12328798,7.394913837
2022,8,SAT,Fall,6,202.4708332,253.7208332,4,53.41540473,30.0418375
2022,8,SAT,Fall,9,657.1874998,785.9374998,4.811111111,74.80929527,56.51003876
2022,8,SAT,Fall,15,360.8708332,434.1208332,4.977777778,77.20504514,61.91344215
2022,8,SAT,Fall,18,263.1958332,324.4458332,4.488888889,64.46553798,41.89397773
2022,8,SAT,Fall,21,214.0708332,264.3208332,4,46.78917412,27.8227708
