Year,line_no,DayType,sheet,Time_Range,direction_name_EastNorth,direction_name_WestSouth,Revenue_Hours,Service_Hours,Average_Trips_Per_Clock_Hour_Per_Direction,Average_Boardings_Per_Revenue_Hour,Average_Boardings_Per_Trip,Average_Peak_Passenger_Load_EastNorth,Average_Peak_Load_Factor_Percentage_EastNorth,Average_Peak_Passenger_Load_WestSouth,Average_Peak_Load_Factor_Percentage_WestSouth
2022,2,MF,Fall,18:00-21:00,EAST,WEST,1630.8,1714.8,6.333333333,62.48114054,37.44389478,24.06360165,0.481272033,32.68422579,0.653684516
2022,2,MF,Fall,21:00-24:00,EAST,WEST,1105.2,1142.4,4,45.45707319,29.00602366,15.94944883,0.318988977,23.26689613,0.465337923
2022,2,MF,Fall,24:00-04:00,EAST,WEST,390,430.8,1.75,14.87947959,11.077259,4.384653218,0.087693064,11.89410706,0.237882141
2022,2,MF,Summer,04:00-06:00,EAST,WEST,95.2,136.8,2,33.35862405,16.54031776,17.5405303,0.350810606,12.37083333,0.247416667
2022,2,MF,Summer,06:00-09:00,EAST,WEST,1413.6,1612.8,8.833333333,62.49715304,34.62030925,30.26428837,0.605285767,30.52686666,0.610537333
2022,2,MF,Summer,09:00-15:00,EAST,WEST,2522.4,2642.4,6.75,58.18024383,37.81872522,27.09408363,0.541881673,31.23394597,0.624678919
2022,2,MF,Summer,15:00-18:00,EAST,WEST,1908,1964,9.666666667,68.3662122,46.86221145,32.30101241,0.646020248,40.22333552,0.80446671
2022,2,MF,Summer,18:00-21:00,EAST,WEST,1087.2,1143.2,6.333333333,82.57481166,49.25232538,34.84307483,0.696861497,40.33879618,0.806775924
2022,2,MF,Summer,21:00-24:00,EAST,WEST,736.8,761.6,4,55.22585684,35.13771158,29.05153712,0.581030742,26.84862059,0.536972412
2022,2,MF,Summer,24:00-04:00,EAST,WEST,260,287.2,1.75,18.77132506,13.87460023,6.452162288,0.129043246,16.81067036,0.336213407
2022,2,SAT,Fall,06:00-09:00,EAST,WEST,207.75,230.75,4,40.24094891,23.74585118,16.27159864,0.325431973,21.96873016,0.439374603
2022,2,SAT,Fall,09:00-15:00,EAST,WEST,710,716.25,6,63.5540375,41.87522193,31.08189634,0.621637927,30.77638555,0.615527711
2022,2,SAT,Fall,15:00-18:00,EAST,WEST,360.5,360.5,6,86.79865661,57.95236015,41.05432268,0.821086454,42.71385802,0.85427716
2022,2,SAT,Fall,18:00-21:00,EAST,WEST,344,353,5.822222222,59.77042394,39.19514524,28.10462121,0.562092424,31.66708554,0.633341711
2022,2,SAT,Fall,21:00-24:00,EAST,WEST,225.5,228,3.977777778,54.23410942,33.83724067,22.0277888,0.440555776,30.49496032,0.609899206
2022,2,SAT,Fall,24:00-04:00,EAST,WEST,121.25,134,3.233333333,22.04192476,13.50592196,6.790823413,0.135816468,17.91236772,0.358247354
2022,2,SAT,Summer,06:00-09:00,EAST,WEST,138.5,153.8333333,4,38.96249353,22.90728149,17.80529101,0.35610582,20.90222222,0.418044444
2022,2,SAT,Summer,09:00-15:00,EAST,WEST,533.8333333,547.8333333,6.583333333,59.05181133,39.95023788,27.75983796,0.555196759,32.82428902,0.65648578
2022,2,SAT,Summer,15:00-18:00,EAST,WEST,314.8333333,316.8333333,7.5,79.18017665,55.28771988,45.20300926,0.904060185,47.89960317,0.957992063
2022,2,SAT,Summer,18:00-21:00,EAST,WEST,259.6666667,266.3333333,6.666666667,92.07385797,58.81929798,44.80535714,0.896107143,40.15109127,0.803021825
2022,2,SAT,Summer,21:00-24:00,EAST,WEST,151.8333333,153.5,4.166666667,96.51146225,58.80216819,46.14722222,0.922944444,34.66305556,0.693261111
2022,2,SAT,Summer,24:00-04:00,EAST,WEST,78.16666667,89.33333333,3.25,57.52698436,34.07955268,11.16666667,0.223333333,14.98888889,0.299777778
2022,2,SUN,Fall,06:00-09:00,EAST,WEST,212.7,247.8,3.833333333,34.36916397,16.88110813,12.39853295,0.247970659,15.40614879,0.308122976
2022,2,SUN,Fall,09:00-15:00,EAST,WEST,828.9,834,6.083333333,53.79801274,34.0938234,26.90050271,0.538010054,25.77786268,0.515557254
2022,2,SUN,Fall,15:00-18:00,EAST,WEST,417.3,417.3,5.833333333,73.21821285,48.48888981,33.33445006,0.666689001,38.8902014,0.777804028
2022,2,SUN,Fall,18:00-21:00,EAST,WEST,326.4,340.5,4.5,57.92045535,38.97487789,28.99186869,0.579837374,33.5314051,0.670628102
2022,2,SUN,Fall,21:00-24:00,EAST,WEST,257.7,265.2,4,32.32575665,19.51394151,14.69852694,0.293970539,19.40549543,0.388109909
2022,2,SUN,Fall,24:00-04:00,EAST,WEST,118.2,133.2,3,7.986543654,4.438117808,4.310143098,0.086202862,7.497253788,0.149945076
2022,2,SUN,Summer,06:00-09:00,EAST,WEST,141.8,165.2,3.833333333,36.90480019,18.08698653,14.82268519,0.296453704,15.675,0.3135
2022,2,SUN,Summer,09:00-15:00,EAST,WEST,593.6,604.8,6.583333333,56.78729373,35.57555722,28.47035384,0.569407077,27.69404762,0.553880952
2022,2,SUN,Summer,15:00-18:00,EAST,WEST,355.6,360.6,7.5,70.56175962,46.43845642,34.08144841,0.681628968,41.78487812,0.835697562
2022,2,SUN,Summer,18:00-21:00,EAST,WEST,233,241.4,5.166666667,78.33442188,49.00825416,46.05979938,0.921195988,37.65313492,0.753062698
2022,2,SUN,Summer,21:00-24:00,EAST,WEST,168,173,4,58.40273992,34.43753323,29.35704365,0.587140873,28.95744048,0.57914881
2022,2,SUN,Summer,24:00-04:00,EAST,WEST,78.6,88.6,3,14.7433714,8.047149231,5.1875,0.10375,8.472222222,0.169444444
2019,3,MF,Fall,04:00-06:00,NORTH,SOUTH,297.6,345.6,2,54.17177304,31.54733721,18.08823954,0.258403422,16.61111111,0.237301587
2019,3,MF,Fall,06:00-09:00,NORTH,SOUTH,2678.4,2764.8,8,92.65948353,72.41563227,41.43230608,0.591890087,21.48270713,0.306895816
2019,3,MF,Fall,09:00-15:00,NORTH,SOUTH,5834.4,5862,7.666666667,91.57396162,80.79623178,30.72476592,0.438925227,27.89145532,0.398449362
2019,3,MF,Fall,15:00-18:00,NORTH,SOUTH,3442.8,3460.8,8.333333333,106.4670023,102.0098069,29.99710748,0.428530107,47.78414576,0.682630654
2019,3,MF,Fall,18:00-21:00,NORTH,SOUTH,2258.4,2311.2,6.333333333,85.16638485,70.04807794,22.82241909,0.326034558,35.69281088,0.509897298
2019,3,MF,Fall,21:00-24:00,NORTH,SOUTH,1345.2,1363.2,4.166666667,71.6716019,53.64296774,16.07280143,0.229611449,32.02817611,0.457545373
2019,3,MF,Fall,24:00-04:00,NORTH,SOUTH,553.2,583.2,2.166666667,25.38237469,15.9672092,5.665298822,0.08093284,11.58167438,0.165452491
2019,3,MF,Summer,04:00-06:00,NORTH,SOUTH,198.4,230.4,2,56.97106111,32.87602513,18.83358135,0.269051162,15.5,0.221428571
2019,3,MF,Summer,06:00-09:00,NORTH,SOUTH,1785.6,1843.2,8,88.42362982,68.8995469,42.15221051,0.602174436,22.37762253,0.319680322
2019,3,MF,Summer,09:00-15:00,NORTH,SOUTH,3888,3906.4,7.666666667,91.08547174,80.30243551,33.0632878,0.472332683,29.27525187,0.418217884
2019,3,MF,Summer,15:00-18:00,NORTH,SOUTH,2295.2,2307.2,8.333333333,103.7286373,99.27211728,32.0387726,0.457696751,48.93330628,0.699047233
2019,3,MF,Summer,18:00-21:00,NORTH,SOUTH,1505.6,1540.8,6.333333333,89.39337754,73.28001113,26.44053063,0.377721866,37.11807626,0.530258232
2019,3,MF,Summer,21:00-24:00,NORTH,SOUTH,896.8,908.8,4.166666667,80.35920935,60.0726495,21.82447272,0.311778182,35.0476609,0.50068087
2019,3,MF,Summer,24:00-04:00,NORTH,SOUTH,368.8,388.8,2.166666667,31.68620694,20.12611888,6.727795584,0.096111365,16.22175926,0.231739418
2019,3,SAT,Fall,04:00-06:00,NORTH,SOUTH,49.5,57.5,1.733333333,47.43364419,26.28333333,12.23888889,0.17484127,12,0.171428571
2019,3,SAT,Fall,06:00-09:00,NORTH,SOUTH,291.5,303.5,4.822222222,82.62711848,55.08858567,28.73597884,0.410513983,21.98240741,0.314034392
2019,3,SAT,Fall,09:00-15:00,NORTH,SOUTH,1151.5,1159.5,7.222222222,103.9617077,91.94467173,36.15869709,0.516552816,39.62098214,0.566014031
2019,3,SAT,Fall,15:00-18:00,NORTH,SOUTH,612,613.25,7.488888889,104.0366565,94.19125047,40.84722222,0.583531746,40.49232804,0.578461829
2019,3,SAT,Fall,18:00-21:00,NORTH,SOUTH,422.5,428.75,5.822222222,94.28059853,75.84618539,36.37044974,0.519577853,33.57544974,0.479649282
