CalendarYear,StationName,AnnualStationBrdgs,AvgStationBrdgs_MF,AvgStationBrdgs_Sat,AvgStationBrdgs_SunHol
2024,King Edward Station,2127670.754,6477.884498,4948.166581,3959.582338
2024,King George Station,4406757.949,13929.06981,9190.142238,7085.110317
2024,Lafarge Lake-Douglas Station,745715.3338,2364.367685,1512.076474,1205.53544
2024,Lake City Way Station,293379.743,981.3142422,488.3552837,363.6618753
2024,Langara-49th Avenue Station,2506322.673,7853.556698,5273.66983,4254.711146
2024,Lansdowne Station,1576803.809,4613.720206,4179.844585,3240.547062
2024,Lincoln Station,1220334.214,3661.908786,3004.192779,2343.090796
2024,Lougheed Town Centre Station,3771557.841,11639.66643,8634.808496,6527.243984
2024,Main Street-Science World Station,3827047.515,11584.32336,9348.303368,7022.141883
2024,Marine Drive Station,3411032.429,10154.86542,8246.554414,6979.232455
2024,Metrotown Station,8513042.648,25026.33925,21770.8946,17683.04084
2024,Moody Centre Station,788113.8587,2433.942396,1824.093481,1341.682172
2024,Nanaimo Station,2217612.7,6649.235244,5441.968912,4291.857548
2024,New Westminster Station,4561485.283,14206.296,10167.96672,7621.281698
2024,Oakridge-41st Avenue Station,2332642.749,7112.61685,5411.080946,4311.152983
2024,Olympic Village Station,1290011.71,4012.114229,2839.489768,2205.258454
2024,Patterson Station,1406525.742,4251.800784,3368.067188,2656.736194
2024,Production Way-University Station,1431379.634,4905.656337,2089.175863,1557.4471
2024,Renfrew Station,1377633.256,4505.780386,2511.347989,1924.674527
2024,Richmond-Brighouse Station,3619750.541,10839.93388,8749.71236,7163.41479
2024,Royal Oak Station,1797133.433,5578.745479,3960.908387,3108.593418
2024,Rupert Station,857104.878,2547.202432,2114.556452,1736.839031
2024,Sapperton Station,970664.674,3172.473405,1803.158669,1337.762236
2024,Scott Road Station,4020146.116,12326.92942,9354.947197,7142.8221
2024,Sea Island Station,322661.7342,1000.713809,663.2839346,599.8958654
2024,Sperling-Burnaby Lake Station,594534.0712,1858.576645,1319.285283,971.4715658
2024,Stadium-Chinatown Station,4928968.018,14262.69545,14489.29121,9601.749337
2024,Surrey Central Station,6008402.688,18413.02474,14007.56426,10694.86441
2024,Templeton Station,1277959.161,3385.386031,3689.239223,3740.886142
2024,VCC-Clark Station,877091.2864,2984.083132,1394.43623,946.8292707
2024,Vancouver City Centre Station,4970913.999,14832.22259,12075.22632,9996.597018
2024,Waterfront Station,10470597.36,31851.40008,24337.51091,19600.74106
2024,YVR-Airport Station,2921544.99,8160.28189,7422.227504,7748.907217
2024,Yaletown-Roundhouse Station,3055148.003,8954.853248,7965.238383,6326.109976
