CalendarYear,Lineno_renamed,AnnualBoardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours,Annual_Service_Hours,Average_Boarding_Per_Revenue_Hour,Average_Peak_Passenger_Load,Average_Peak_Load_Factor,Average_Capacity_Utilization,Revenue_Hrs_w_Overcrowding,Perc_Trips_w_Overcrowding,On_Time_Performance_Percentage,Bus_Bunching_Percentage,AVG_speed_km_per_hr
2025,182,114824.5989,375.3801578,196.972972,176.7342346,11259.85,13576.36667,10.19770236,5.497299238,22.90541349,8.252537254,0.018333288,0.019440124,80.22344506,0.114541778,32.54073481
2025,183,464111.3851,1540.341634,777.0221194,641.561688,21354.73333,30043.66667,21.73341984,10.85101818,26.77339027,13.08236367,0.288515148,0.239432729,86.52210825,0.365497186,24.07107288
2025,184/185,230170.5034,778.6142472,350.2817987,290.1464078,14047.01667,21174.51667,16.38572152,3.671254187,15.29689245,8.056399879,0,0,91.59677419,0.180384994,24.30707534
2025,186,230651.0959,745.6924829,442.0271119,349.7530816,9990.316667,13950.76667,23.08746595,6.921795033,28.84081264,15.90411294,0.305589198,0.26326448,84.35874821,0.806350729,21.86552393
2025,187,278558.0117,903.3963931,515.3602594,426.4149644,9484.65,13682.75,29.36935065,8.293998584,24.61931139,14.31638333,0.036272388,0.030339806,88.14361686,0.496549813,23.6259315
2025,188,619804.4485,2038.580993,1111.595667,868.2059627,18866.53333,26352.56667,32.85205806,16.84782756,33.69565512,17.81208161,1.661850147,1.331193353,91.95838084,0.497421443,25.28181286
2025,189,95871.53484,303.8032382,187.3745,165.9208887,4730.583333,7418.583333,20.26632406,4.911724796,15.19955522,10.241608,0,0,88.93958752,0.022045185,19.69940192
2025,191,269853.9077,870.9912031,541.9106856,394.9035947,7774.633333,10459.61667,34.70953498,11.09825849,22.19651698,13.22860377,2.020609662,1.749146758,82.29258025,0.189532104,22.33694528
2025,209,134401.8959,373.363204,404.8589997,319.3100508,5932.5,7835.116667,22.65518683,13.61534214,27.23068429,17.14896657,0.091630728,0.079840319,87.54398827,0.181866842,24.61777358
2025,210,877649.9536,2832.857884,1709.789952,1326.032628,24514.45,31736.56667,35.80133161,22.80591439,45.61182878,30.73610013,1.333097104,1.126307321,80.22919888,1.476868837,21.54162067
2025,211,683306.4247,2127.119645,1361.159176,1307.699624,21277.73333,27766,32.11368495,17.04922648,34.09845297,24.51061072,0.49386852,0.393170074,80.06473602,1.528220419,25.58075672
2025,212,274599.5792,840.1499258,609.631039,531.4089773,6816.415278,11743.49861,40.2850425,10.69250727,21.38501455,12.12722267,0.061216699,0.056227158,90.60998312,0.354946625,30.90915555
2025,214,85591.45795,220.4749483,303.0262161,233.1739622,6531.366667,10372.91667,13.10467813,7.221995965,21.10669556,15.87844866,0.031823204,0.040241449,85.49187726,0.334128011,27.57980242
2025,215,229020.2602,768.255073,371.9977261,294.6018521,7198.083333,11050.71667,31.81683924,8.787968943,36.61653726,19.7509049,0.693769723,0.666173205,90.94267139,0.019581312,27.15053461
2025,222,929452.7673,3741.052347,NULL,1670.735474,13820.88333,18005.03333,67.24988157,30.91896449,61.83792898,46.26844093,7.023507505,6.98808234,81.42652769,5.12349446,22.02035551
2025,227,126132.0419,346.6578212,346.5136336,340.6491273,6555.966667,10116.98333,19.23927443,4.536154779,18.90064491,12.83338816,0.051228587,0.050916497,94.81906663,0.055373247,23.77698657
2025,228,558758.6396,1718.5072,1286.897907,1010.002507,14679.46667,20763.16667,38.06396052,13.71834108,27.43668217,15.99540538,0.182363317,0.165224998,86.99629762,0.460240498,20.26687388
2025,229,852031.2276,2521.055103,2242.801786,1695.136447,14073.23333,20846.45,60.54267754,20.81098006,41.62196013,22.55845466,1.037774662,0.931551235,85.42193208,0.435059554,15.36837443
2025,230,695071.9206,2212.986238,1459.174241,1082.681125,11764.43333,16514.8,59.08248199,21.95559918,43.91119837,20.98813718,1.523184423,1.21573575,87.26588788,0.350053837,15.26330523
2025,231,17085.75282,68.71322519,NULL,44.87297058,398.9333333,1148.616667,42.82859162,7.732207313,15.46441463,13.69200451,0,0,90.72294191,0.105494505,15.43493708
2025,232,636073.1417,1962.674756,1377.032487,1195.755581,16550.86667,21392.81667,38.43140994,18.68224765,37.3644953,21.79687346,0.352208452,0.308728599,78.68236204,0.34209919,19.91156368
2025,236,480217.8978,1253.842262,1516.00197,1391.275607,14454.61667,20689.3,33.22245819,12.34054118,24.68108235,18.15575783,0.331099724,0.328835469,84.36772006,0.586677263,21.94902094
2025,240,2956779.011,9108.361444,6898.953876,5217.842642,48280.25,63666.7,61.24199878,35.19290562,70.38581125,46.46050101,11.88391562,10.53357612,71.17725116,3.665725567,19.33412112
2025,241,263065.5034,1058.143118,NULL,637.6135864,4981.125278,8791.308611,52.8124648,25.36840653,50.73681307,38.33465604,8.002969272,6.61971831,71.94840309,2.567343107,18.79169168
2025,245,596728.2138,2296.006376,303.8197723,177.2308357,12258.88333,19484.53333,48.67720799,10.69096213,21.38192425,15.64153198,0.373530646,0.344266108,94.93395377,1.044838353,22.13054882
2025,246/249,1095516.728,3458.634942,2268.356947,1843.395397,28461.70167,36854.75167,38.49090755,16.47697404,32.95394807,25.49547388,2.274767183,1.56550243,73.12931622,1.271378589,19.83857023
2025,247,73955.46036,297.6015648,NULL,150.2722778,1705.15,2754.183333,43.37182087,22.0283719,44.0567438,25.8072361,0.297227007,0.281690141,71.11111111,0.447110759,23.67897112
2025,250,2338651.036,6969.088473,5826.681603,4728.148486,56450.01667,77906.1,41.42870409,28.71036036,57.42072072,33.18569752,5.793996685,5.257496881,71.03922124,4.384958947,22.00922593
2025,251,82115.27116,269.7679557,142.3266216,120.1820587,6256.133333,9024,13.12556283,4.39666446,18.31943525,8.288577446,0.069822,0.065545117,74.42789846,0.007641927,24.79265375
2025,252,62169.51751,198.5527839,124.5300873,99.27480878,5035.966667,7310.016667,12.34510108,3.925701572,16.35708988,8.515006779,0.083128399,0.087680842,76.25419547,0.032516593,21.3572197
2025,253,222993.3981,792.6389801,242.37271,212.5469246,8203.170556,10721.40389,27.18380614,14.97453273,29.94906546,20.87652454,2.335592213,2.302256667,66.67930592,0.250231097,24.37069356
2025,254,139784.9673,484.018328,189.0743486,152.5623968,5667.199444,7520.166111,24.66561635,12.58501159,25.17002317,16.78563651,0.30308791,0.169245648,55.03144654,1.245797468,24.76756636
2025,255,972153.2521,2996.018927,2129.782405,1821.413434,26590.91667,34918.53333,36.55959907,21.56149365,43.1229873,23.72794704,0.723238538,0.63794288,60.49283912,0.771494312,20.52294587
2025,256,99572.33774,292.5026579,259.3902393,208.3597867,4672.666667,5739.8,21.30953155,6.327086654,26.36286106,9.201730453,0.240790388,0.209497207,69.47745072,0.000617181,19.04326151
2025,257,1457847.934,3853.796861,4541.745127,4091.316402,25623.43333,34928.46667,56.89510517,41.37175739,55.16234319,39.39951063,9.418472633,8.973398277,81.15078838,1.288256114,34.57063021
2025,262,41117.60845,121.9230624,102.2222071,85.61744939,4355.5,5534.466667,9.440387659,3.154641069,13.14433779,7.511039609,0,0,83.58082584,0.000849452,47.89264942
2025,280,18981.78907,54.85701383,48.04536269,44.29062735,3088.333333,4408.25,6.146288959,3.819895113,15.91622964,7.951204249,0,0,NULL,NULL,29.16870751
2025,281,9589.250058,35.23155519,4.774371266,9.285493299,1783.5,3577.933333,5.376647075,2.572983497,10.72076457,7.336088136,0,0,NULL,NULL,22.27659591
2025,301,1548984.658,4836.52422,3065.594722,2924.857317,29476.53333,38808.21667,52.54975679,41.61650553,48.96059474,37.79411966,3.092596101,2.943332984,77.47118522,1.429750111,33.03295268
2025,310,560370.7093,1672.170745,1279.808785,1217.266272,18969.71667,25330.6,29.54027828,17.67946379,37.4787854,26.7348578,0.252994172,0.242935686,82.79847626,0.908665526,31.27618995
2025,311,204915.5388,824.0756411,NULL,544.7798394,4337.9,8510.116667,47.23841924,34.80073746,40.94204407,36.10585021,0.189079684,0.169014085,88.20158436,0.961440505,42.58783654
2025,312,1083909.641,3334.094991,2481.853173,1969.195662,18262.16667,25226.75,59.35274059,25.63376213,51.26752427,32.59289531,3.802536523,3.367217281,92.70708093,0.348867805,22.07036197
2025,314,499365.7589,1659.665083,876.255695,649.2849558,8924.616667,11432.13333,55.95374878,24.61880428,49.23760857,27.64662213,3.692694787,2.758360098,89.59055262,0.264197579,18.69762123
2025,316,858390.3935,2619.160659,2104.139393,1529.589257,14613.46667,19831.5,58.73968259,26.63199767,53.26399533,31.53982284,2.777329503,2.71898883,87.20659618,0.076231801,19.032862
2025,319,2583819.129,7820.215698,5873.824519,5214.873238,42900.2,57096.78333,60.22860333,23.1034283,46.2068566,29.78069803,2.92189088,2.684087917,84.79756258,1.04169567,20.02985255
2025,320,2006147.995,6047.837704,4596.489521,4111.796764,43338.23333,57961.56667,46.29048858,27.18042909,54.36085818,32.92259255,10.86727702,7.349709114,77.71482053,1.942275687,20.7550832
2025,321,4146136.454,12294.75694,10395.58952,8561.016564,80584.63333,98457.73333,51.45070818,36.99238942,73.98477884,39.9923652,13.44178504,12.56851828,82.48831482,3.068378365,22.63338162
2025,322,989838.4867,3025.151325,2185.496756,1937.771182,31588.33333,45529.96667,31.33557178,12.61098234,52.54575975,20.92887918,1.338174911,1.282306823,88.43054844,1.123954829,24.10846038
2025,323,4149580.264,12326.03317,9886.931763,8901.593645,49270.8,63779.91667,84.21986784,37.9053754,55.01215219,31.18675268,4.825832674,4.543118952,86.38046033,2.286822658,17.54564497
2025,324,1457729.751,4501.391614,3118.385794,2757.362601,23351.95,32347.81667,62.42432648,28.89653621,57.79307241,32.49441377,5.932663827,5.649373259,86.08624167,0.710459785,18.17688257
2025,325,1212022.223,3634.910337,2814.717182,2526.141016,15118.55,23066,80.167888,27.91973765,55.83947529,38.0526044,5.250930615,4.685023772,85.33062645,0.956984027,18.00443594
2025,326,525316.1111,1785.610306,795.9121152,632.2665415,10899.96667,15556.18333,48.19428602,26.84404894,53.68809789,26.26741963,3.759877911,3.625755366,81.10827262,0.139579923,18.84702538
2025,329,169458.8312,564.2947188,557.9182422,501.9922867,3159.15,4159.45,53.64064104,22.5253532,45.05070639,25.16587271,2.050359712,1.791229154,86.85818276,0.00224709,18.05319398
2025,335,4132227.449,12706.11034,9220.985708,7717.243513,63057.45,77550.65,65.53115373,36.76017351,73.52034703,35.77930393,17.90080085,16.65168764,79.35306462,4.517849711,20.45303931
2025,337,875537.8589,2718.68194,1902.941927,1574.642422,18084.8,23701.96667,48.41291355,17.40128624,34.80257249,24.17439629,1.423592441,1.29759019,84.76680623,0.927976225,24.09310374
2025,338,65621.91061,214.3398173,126.6394665,102.1540122,7679.383333,10553.31667,8.54520575,3.302614304,13.76089293,7.456065838,0,0,77.36691106,0.083533747,17.80724285
2025,340,1211312.354,3825.611451,2528.507482,2016.589613,19384.73333,29748.81667,62.48795549,28.46564624,33.48899558,28.4323115,0.330028136,0.252811438,92.5948707,0.719715007,34.65954086
2025,341,877983.8583,2691.148618,1975.705123,1659.112842,15103.58333,22511.86667,58.13083153,27.17781567,54.35563134,28.53737573,2.658910878,2.568140521,80.77939455,0.450302183,19.4151392
