Station Code,StationName,line,sub_region,platform_level,platform_type,faregate_count,bike_parkade,connecting_routes,population_800m,employment_800m,service_change_1,service_change_2,service_change_3,service_change_4,service_change_5,service_change_6
ED,Edmonds Station,Expo Line,Burnaby/New Westminster,At ground level,Side,8,No,106; 112; 116; 119; 133; 147; 148,15000,4000,None,,,,,
GW,Gateway Station,Expo Line,Southeast,Elevated,Centre,6,No,335; 371; 373,11000,5000,None,,,,,
GM,Gilmore Station,Millennium Line,Burnaby/New Westminster,Elevated,Side,8,No,28; 129,10000,14000,None,,,,,
GV,Granville Station,Expo Line,Vancouver/UBC,Below ground,Side (stacked),13,No,4; 7; 10; 14; 16; 17; 50; 240; 241; 242; 246; 247; 250; 253; 254; 257; N10; N17; N24,30000,106000,"-May 2018, escalator replacement work began; Seymour entrance closed including 7 fare gates",,,,,
HO,Holdom Station,Millennium Line,Burnaby/New Westminster,Elevated,Side,3,No,129; 133; 136; N9,8000,3000,None,,,,,
IC,Inlet Centre Station,Millennium Line,Northeast Sector,Below ground,Side,8,No,160; 179; 183; 184; N9,13000,4000,"-December 2, 2016, Station opened as part of the Millennium Line Evergreen Extension",,,,,
JY,Joyce-Collingwood Station,Expo Line,Vancouver/UBC,Elevated,Centre,14,Yes,26; 27; 28; 41; 43,21000,5000,"-Oct 2017, east stationhouse upgrades complete","-August 2018 ,upgrades to bus exchange complete","-August 2018, west stationhouse closes for upgrades","-June 2019, new west stationhouse opens",,
KE,King Edward Station,Canada Line,Vancouver/UBC,Below ground,Side (stacked),3,Yes,15; 25; 33; N15,10000,4000,None,,,,,
KG,King George Station,Expo Line,Southeast,Elevated,Side,8,Yes,96; 314; 321; 326; 329; 345; 394; 395; 502; 503,15000,7000,None,,,,,
LL,Lafarge Lake-Douglas Station,Millennium Line,Northeast Sector,Elevated,Side,6,Yes,160; 183; 186; 188; 191; N9,21000,11000,"-December 2, 2016, Station opened as part of the Millennium Line Evergreen Extension",,,,,
LC,Lake City Way Station,Millennium Line,Burnaby/New Westminster,Elevated,Side,6,No,134; N9,3000,3000,None,,,,,
LG,Langara-49th Avenue Station,Canada Line,Vancouver/UBC,Below ground,Side,3,No,15; 49; N15,9000,2000,None,,,,,
LA,Lansdowne Station,Canada Line,Southwest,Elevated,Side,6,No,403; 405; 410; 416; N10,21000,16000,None,,,,,
