Route,Subregion,DayType,AvgDailyBoardings,Note
183,Northeast Sector,Sat,500,
183,Northeast Sector,Mon-Fri,1000,
183,Northeast Sector,Sun/Hol,300,
184,Northeast Sector,Sat,,<100 average daily boardings
184,Northeast Sector,Mon-Fri,200,
184,Northeast Sector,Sun/Hol,,<100 average daily boardings
185,Northeast Sector,Sat,100,
185,Northeast Sector,Mon-Fri,200,
185,Northeast Sector,Sun/Hol,,<100 average daily boardings
186,Northeast Sector,Sat,300,
186,Northeast Sector,Mon-Fri,400,
186,Northeast Sector,Sun/Hol,200,
187,Northeast Sector,Sat,300,
187,Northeast Sector,Mon-Fri,500,
187,Northeast Sector,Sun/Hol,200,
188,Northeast Sector,Sat,700,
188,Northeast Sector,Mon-Fri,1300,
188,Northeast Sector,Sun/Hol,500,
189,Northeast Sector,Sat,100,
189,Northeast Sector,Mon-Fri,200,
189,Northeast Sector,Sun/Hol,,<100 average daily boardings
191,Northeast Sector,Sat,300,
191,Northeast Sector,Mon-Fri,400,
191,Northeast Sector,Sun/Hol,200,
209,North Shore,Sat,200,
209,North Shore,Mon-Fri,200,
209,North Shore,Sun/Hol,100,
210,North Shore,Sat,1000,
210,North Shore,Mon-Fri,1600,
210,North Shore,Sun/Hol,700,
211,North Shore,Sat,600,
211,North Shore,Mon-Fri,900,
211,North Shore,Sun/Hol,400,
212,North Shore,Sat,300,
212,North Shore,Mon-Fri,400,
212,North Shore,Sun/Hol,200,
214,North Shore,Sat,,Route excluded due to poor data quality
214,North Shore,Mon-Fri,,Route excluded due to poor data quality
214,North Shore,Sun/Hol,,Route excluded due to poor data quality
215,North Shore,Sat,200,
215,North Shore,Mon-Fri,400,
215,North Shore,Sun/Hol,100,
222,North Shore,Mon-Fri,1000,
227,North Shore,Sat,100,
227,North Shore,Mon-Fri,100,
227,North Shore,Sun/Hol,,<100 average daily boardings
228,North Shore,Sat,700,
228,North Shore,Mon-Fri,1000,
228,North Shore,Sun/Hol,500,
229,North Shore,Sat,1100,
229,North Shore,Mon-Fri,1300,
229,North Shore,Sun/Hol,800,
230,North Shore,Sat,800,
230,North Shore,Mon-Fri,1200,
230,North Shore,Sun/Hol,500,
231,North Shore,Mon-Fri,,<100 average daily boardings
232,North Shore,Sat,900,
232,North Shore,Mon-Fri,1400,
232,North Shore,Sun/Hol,700,
236,North Shore,Sat,700,
236,North Shore,Mon-Fri,500,
236,North Shore,Sun/Hol,600,
240,North Shore,Sat,4200,
240,North Shore,Mon-Fri,5600,
240,North Shore,Sun/Hol,3000,
241,North Shore,Mon-Fri,400,
245,North Shore,Sat,100,
245,North Shore,Mon-Fri,400,
245,North Shore,Sun/Hol,,<100 average daily boardings
246,North Shore,Sat,800,
246,North Shore,Mon-Fri,1100,
246,North Shore,Sun/Hol,500,
247,North Shore,Mon-Fri,,<100 average daily boardings
249,North Shore,Sat,400,
249,North Shore,Mon-Fri,600,
249,North Shore,Sun/Hol,300,
250,North Shore,Sat,4000,
250,North Shore,Mon-Fri,4300,
250,North Shore,Sun/Hol,2900,
251,North Shore,Sat,100,
251,North Shore,Mon-Fri,200,
251,North Shore,Sun/Hol,,<100 average daily boardings
252,North Shore,Sat,,<100 average daily boardings
252,North Shore,Mon-Fri,100,
252,North Shore,Sun/Hol,,<100 average daily boardings
253,North Shore,Sat,100,
253,North Shore,Mon-Fri,600,
253,North Shore,Sun/Hol,100,
254,North Shore,Sat,200,
254,North Shore,Mon-Fri,400,
254,North Shore,Sun/Hol,100,
255,North Shore,Sat,1300,
255,North Shore,Mon-Fri,1800,
255,North Shore,Sun/Hol,1000,
256,North Shore,Sat,200,
256,North Shore,Mon-Fri,200,
256,North Shore,Sun/Hol,100,
257,North Shore,Sat,1700,
257,North Shore,Mon-Fri,1800,
257,North Shore,Sun/Hol,1600,
262,North Shore,Sat,,<100 average daily boardings
262,North Shore,Mon-Fri,,<100 average daily boardings
262,North Shore,Sun/Hol,,<100 average daily boardings
280,North Shore,Sat,,Route excluded due to poor data quality
280,North Shore,Mon-Fri,,Route excluded due to poor data quality
