Route,Subregion,DayType,AvgDailyBoardings,Notes
187,Northeast Sector,Mon-Fri,600,
187,Northeast Sector,Sat,300,
187,Northeast Sector,Sun/Hol,300,
188,Northeast Sector,Mon-Fri,1500,
188,Northeast Sector,Sat,700,
188,Northeast Sector,Sun/Hol,600,
189,Northeast Sector,Mon-Fri,200,
189,Northeast Sector,Sat,100,
189,Northeast Sector,Sun/Hol,100,
191,Northeast Sector,Mon-Fri,500,
191,Northeast Sector,Sat,300,
191,Northeast Sector,Sun/Hol,200,
209,North Shore,Mon-Fri,300,
209,North Shore,Sat,300,
209,North Shore,Sun/Hol,200,
210,North Shore,Mon-Fri,2000,
210,North Shore,Sat,1100,
210,North Shore,Sun/Hol,900,
211,North Shore,Mon-Fri,1300,
211,North Shore,Sat,700,
211,North Shore,Sun/Hol,600,
212,North Shore,Mon-Fri,700,
212,North Shore,Sat,300,
212,North Shore,Sun/Hol,300,
214,North Shore,Mon-Fri,,Route excluded due to poor data quality
214,North Shore,Sat,,Route excluded due to poor data quality
214,North Shore,Sun/Hol,,Route excluded due to poor data quality
215,North Shore,Mon-Fri,600,
215,North Shore,Sat,300,
215,North Shore,Sun/Hol,200,
222,North Shore,Mon-Fri,2500,
227,North Shore,Mon-Fri,200,
227,North Shore,Sat,200,
227,North Shore,Sun/Hol,200,
228,North Shore,Mon-Fri,1200,
228,North Shore,Sat,900,
228,North Shore,Sun/Hol,700,
229,North Shore,Mon-Fri,1600,
229,North Shore,Sat,1500,
229,North Shore,Sun/Hol,1100,
230,North Shore,Mon-Fri,1500,
230,North Shore,Sat,1000,
230,North Shore,Sun/Hol,800,
231,North Shore,Mon-Fri,<100 average daily boardings,
232,North Shore,Mon-Fri,1500,
232,North Shore,Sat,1000,
232,North Shore,Sun/Hol,800,
236,North Shore,Mon-Fri,700,
236,North Shore,Sat,1000,
236,North Shore,Sun/Hol,800,
240,North Shore,Mon-Fri,7100,
240,North Shore,Sat,5400,
240,North Shore,Sun/Hol,4000,
241,North Shore,Mon-Fri,700,
245,North Shore,Mon-Fri,1800,
245,North Shore,Sat,200,
245,North Shore,Sun/Hol,200,
246,North Shore,Mon-Fri,1600,
246,North Shore,Sat,1100,
246,North Shore,Sun/Hol,800,
247,North Shore,Mon-Fri,100,
249,North Shore,Mon-Fri,700,
249,North Shore,Sat,400,
249,North Shore,Sun/Hol,300,
250,North Shore,Mon-Fri,5000,
250,North Shore,Sat,4300,
250,North Shore,Sun/Hol,3300,
251,North Shore,Mon-Fri,200,
251,North Shore,Sat,100,
251,North Shore,Sun/Hol,100,
252,North Shore,Mon-Fri,100,
252,North Shore,Sat,100,
252,North Shore,Sun/Hol,100,
253,North Shore,Mon-Fri,800,
253,North Shore,Sat,200,
253,North Shore,Sun/Hol,100,
254,North Shore,Mon-Fri,500,
254,North Shore,Sat,200,
254,North Shore,Sun/Hol,200,
255,North Shore,Mon-Fri,2500,
255,North Shore,Sat,1600,
255,North Shore,Sun/Hol,1300,
256,North Shore,Mon-Fri,200,
256,North Shore,Sat,200,
256,North Shore,Sun/Hol,200,
257,North Shore,Mon-Fri,2200,
257,North Shore,Sat,2500,
257,North Shore,Sun/Hol,2300,
262,North Shore,Mon-Fri,100,
262,North Shore,Sat,<100 average daily boardings,
262,North Shore,Sun/Hol,<100 average daily boardings,
280,North Shore,Mon-Fri,,Route excluded due to poor data quality
280,North Shore,Sat,,Route excluded due to poor data quality
280,North Shore,Sun/Hol,,Route excluded due to poor data quality
281,North Shore,Mon-Fri,,Route excluded due to poor data quality
281,North Shore,Sat,,Route excluded due to poor data quality
281,North Shore,Sun/Hol,,Route excluded due to poor data quality
282,North Shore,Mon-Fri,,Route excluded due to poor data quality
282,North Shore,Sat,,Route excluded due to poor data quality
282,North Shore,Sun/Hol,,Route excluded due to poor data quality
301,Southwest,Mon-Fri,3200,
301,Southwest,Sat,1800,
301,Southwest,Sun/Hol,1700,
310,Southeast,Mon-Fri,800,
310,Southeast,Sat,500,
310,Southeast,Sun/Hol,500,
311,Southeast,Mon-Fri,500,
312,Southeast,Mon-Fri,1800,
312,Southeast,Sat,1300,
312,Southeast,Sun/Hol,1000,
314,Southeast,Mon-Fri,1000,
314,Southeast,Sat,500,
314,Southeast,Sun/Hol,400,
316,Southeast,Mon-Fri,1400,
316,Southeast,Sat,1200,
316,Southeast,Sun/Hol,600,
319,Southeast,Mon-Fri,14400,
319,Southeast,Sat,11200,
319,Southeast,Sun/Hol,9800,
320,Southeast,Mon-Fri,4100,
320,Southeast,Sat,3000,
320,Southeast,Sun/Hol,2600,
321,Southeast,Mon-Fri,5800,
321,Southeast,Sat,5300,
321,Southeast,Sun/Hol,4600,
322,Southeast,Mon-Fri,1100,
322,Southeast,Sat,700,
322,Southeast,Sun/Hol,600,
323,Southeast,Mon-Fri,6700,
323,Southeast,Sat,5100,
323,Southeast,Sun/Hol,4400,
324,Southeast,Mon-Fri,2800,
324,Southeast,Sat,1800,
324,Southeast,Sun/Hol,1500,
325,Southeast,Mon-Fri,2300,
325,Southeast,Sat,1600,
325,Southeast,Sun/Hol,1400,
326,Southeast,Mon-Fri,900,
326,Southeast,Sat,500,
326,Southeast,Sun/Hol,400,
329,Southeast,Mon-Fri,400,
329,Southeast,Sat,300,
335,Southeast,Mon-Fri,6700,
335,Southeast,Sat,4000,
335,Southeast,Sun/Hol,3100,
337,Southeast,Mon-Fri,1600,
337,Southeast,Sat,900,
