Mode/Line,DayType,Station,AvgDailyBoardings
Expo/Millennium Lines,Sun/Hol,Granville Station,7200
Expo/Millennium Lines,Sun/Hol,Holdom Station,900
Expo/Millennium Lines,Sun/Hol,Inlet Centre Station,600
Expo/Millennium Lines,Sun/Hol,Joyce–Collingwood Station,7100
Expo/Millennium Lines,Sun/Hol,King George Station,4600
Expo/Millennium Lines,Sun/Hol,Lafarge Lake-Douglas Station,600
Expo/Millennium Lines,Sun/Hol,Lake City Way Station,200
Expo/Millennium Lines,Sun/Hol,Lincoln Station,1500
Expo/Millennium Lines,Sun/Hol,Lougheed Town Centre Station,3800
Expo/Millennium Lines,Sun/Hol,Main Street–Science World Station,4400
Expo/Millennium Lines,Sun/Hol,Metrotown Station,11300
Expo/Millennium Lines,Sun/Hol,Moody Centre Station,700
Expo/Millennium Lines,Sun/Hol,Nanaimo Station,2800
Expo/Millennium Lines,Sun/Hol,New Westminster Station,5400
Expo/Millennium Lines,Sun/Hol,Patterson Station,1600
Expo/Millennium Lines,Sun/Hol,Production Way–University Station,1100
Expo/Millennium Lines,Sun/Hol,Renfrew Station,1200
Expo/Millennium Lines,Sun/Hol,Royal Oak Station,2000
Expo/Millennium Lines,Sun/Hol,Rupert Station,1300
Expo/Millennium Lines,Sun/Hol,Sapperton Station,900
Expo/Millennium Lines,Sun/Hol,Scott Road Station,4200
Expo/Millennium Lines,Sun/Hol,Sperling–Burnaby Lake Station,600
Expo/Millennium Lines,Sun/Hol,Stadium–Chinatown Station,6000
Expo/Millennium Lines,Sun/Hol,Surrey Central Station,5500
Expo/Millennium Lines,Sun/Hol,VCC–Clark Station,600
Expo/Millennium Lines,Sun/Hol,Waterfront Station,5800
West Coast Express,Mon-Fri,Coquitlam Central Station,300
West Coast Express,Mon-Fri,Maple Meadows Station,200
West Coast Express,Mon-Fri,Mission City Station,200
West Coast Express,Mon-Fri,Moody Centre Station,300
West Coast Express,Mon-Fri,Pitt Meadows Station,100
West Coast Express,Mon-Fri,Port Coquitlam Station,300
West Coast Express,Mon-Fri,Port Haney Station,200
West Coast Express,Mon-Fri,Waterfront Station,1300
